"T10-1-S","T10-2-S","T11-1-S","T11-2-S","T12-1-S","T12-2-S","T14-1-S","T14-2-S","T15-1-S","T15-2-S","T16-1-S","T16-2-S","T18-1-S","T18-2-S","T20-1-S","T20-2-S","T23-1-S","T23-2-S","T24-1-S","T24-2-S","T7-1-S","T8-1-S","T8-2-S"
"ASV4",0,0,5.79310641545213,5.39434979791718,0,0,5.35193347919965,4.45895321537287,0,4.9867326935025,0,4.97368872288415,3.29801230465781,5.99527415214618,0,5.38140390955756,6.56989063965555,5.41503749927884,5.27688534109461,4.74645770748993,0,5.52049364371566,6.79155935208804
"ASV6",9.69810211047429,5.20082055403923,7.09625533431484,6.62771675003248,0,8.58742101719758,6.74472218226584,7.85415809277452,6.47216660056686,6.18822666859801,6.4505519814951,5.78703713902739,6.16359450487223,7.22725212471933,4.75083971228075,6.90443314406941,5.95722591612423,6.41250504104463,6.80878545766404,5.80880152304203,8.59037912384407,0,4.08475005156229
"ASV7",0,0,0,5.60302924981505,0,0,0,0,0,4.85193828455149,0,0,0,5.76787648416104,0,0,0,4.96287633736356,4.90542617228321,0,0,5.00753007543014,0
"ASV9",9.24478774068127,5.59399294481677,6.49174046936987,6.16615822607132,7.28666188456778,8.80073466525858,0,7.53793708133995,5.98194347010604,5.96380103802339,0,0,5.6773265923925,7.0014845687394,0,6.32059219128977,5.37048127627253,5.9194308922262,6.78978529115436,0,7.97791589223003,6.00879705682202,0
"ASV13",8.49434140596,0,6.34359921248137,6.82990102615888,0,6.64026545694499,0,6.4328601851309,5.30459357148592,0,0,0,4.99659582011035,0,0,0,4.58904739882694,0,0,0,8.63137918460671,0,0
"ASV23",0,0,0,4.82643691689509,0,0,0,0,0,0,0,0,0,0,5.73535139297377,6.02856699433271,0,0,6.00987736426826,0,0,0,0
"ASV29",8.23210689437892,6.718438893633,7.39113037540907,6.71610846740477,0,7.20383266311789,6.62365564032209,6.49678112877136,7.28281558822971,5.51880215285828,5.64211354827812,6.37378236326778,4.98226462675129,5.0685908297891,5.95880718817929,6.61215619931429,6.10958517337369,5.77007390597814,6.21607973507054,6.94803905546332,0,5.18561108653836,0
"ASV32",7.83370817961206,0,6.40469289647373,6.65778642432666,0,0,0,6.18379272434992,4.73206592318431,0,0,0,4.84644378643188,0,0,0,4.09993775281185,0,0,0,8.13442632022093,0,0
"ASV35",7.94869885173652,6.25166398031754,5.45088286016368,6.48166314720046,0,4.49610449587717,5.44283338074599,4.84564403970593,0,0,0,0,4.90839214704583,6.5549457335696,0,4.88158816396463,0,3.53968636259703,0,0,7.77332239445924,0,0
"ASV41",0,0,0,4.6149988990436,0,6.89539561179667,0,6.28928967805585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV55",0,0,0,0,0,0,0,3.69148807633556,0,0,0,0,0,0,5.41443861516495,5.35296373212,0,0,5.26317492552861,0,0,0,0
"ASV57",0,0,5.26568915041114,6.16016847632674,0,0,0,4.39938881403696,0,3.18282068543484,0,4.70043971814109,4.42701625485961,0,4.86043143315344,4.64404399789695,0,0,5.14853204885581,0,7.68260450796188,0,6.0632497468055
"ASV59",0,6.11948856239138,6.9121461162917,6.53355389588027,6.52661611407732,7.00144493929287,0,6.321738794514,6.9813415218878,4.89175302357172,0,5.90775942733661,0,0,5.78066838311095,6.34245626326444,6.10958517337369,5.4714263809121,5.89899513533447,6.45148897175825,0,4.50199590757773,0
"ASV75",0,0,6.00521694693397,0,0,0,6.38089075576031,3.38251885876172,0,0,0,0,0,0,0,0,0,0,0,7.09162852714014,0,0,0
"ASV80",9.18349058463458,7.33720670856555,8.07540086476652,7.97111595495937,8.01603735517125,7.01416933220857,7.58173574237995,8.69319368867788,8.29277564823339,7.73279269016899,7.63219466677319,8.09428440853994,8.2816634328133,7.44826840187801,8.18409555102219,7.65804294598756,6.73520170770953,9.11522948065606,7.55754338906288,8.47368295048478,8.44156094179861,7.61028977732737,8.35907003535808
"ASV87",0,5.48100263271275,0,0,0,0,5.89319072099863,4.4821070338636,0,4.10111351710461,0,4.88822976902574,0,0,0,3.92971705080499,0,5.0016858391943,0,6.38515955137242,0,5.07691156465068,0
"ASV90",0,0,0,4.25922429414856,0,0,0,6.05846114936725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV94",0,5.62977191253122,0,0,0,0,0,4.65506458342907,3.80178006958667,5.56878143232151,0,4.64940769269372,0,0,6.30739291366315,0,4.36512161199068,5.60344972809904,0,0,0,0,0
"ASV95",0,0,0,0,6.62182150783237,0,0,0,0,0,0,5.44194419190846,0,0,0,0,0,0,0,0,0,5.41726854963794,0
"ASV96",0,4.58762117583105,0,6.09886213704639,7.33429437009591,5.46377949544948,4.43191236213592,3.38251885876172,5.72202939928186,6.47048427892111,0,4.42505155627807,4.01317047408214,6.5065651403451,5.11162232250101,0,5.84590960937057,6.54977812073355,6.29904509812401,5.71933113275442,0,5.14310893217639,0
"ASV100",8.6833267416794,7.08993743087872,7.78881955575114,7.69065156569651,7.8158229755842,6.55575558058325,7.3010983797807,8.39762801833296,8.07356748656685,7.45237645522436,7.66735179321073,7.73707422675094,8.02975373085063,7.46101933592044,7.95124879376855,7.26268739780593,6.65491264851837,8.83670520572614,7.40045363624749,8.359872919254,7.74371242660679,7.2336019529068,8.20169841666625
