"","ASV4","ASV6","ASV7","ASV9","ASV11","ASV13","ASV15","ASV16","ASV18","ASV21","ASV23","ASV25","ASV26","ASV29","ASV30","ASV32","ASV35","ASV36","ASV38","ASV39","ASV41","ASV42","ASV44","ASV45","ASV47","ASV49","ASV50","ASV53","ASV54","ASV55","ASV57","ASV58","ASV59","ASV60","ASV63","ASV65","ASV67","ASV70","ASV75","ASV79","ASV80","ASV82","ASV83","ASV84","ASV87","ASV90","ASV94","ASV96","ASV97","ASV98","ASV101","ASV102","ASV104","ASV106","ASV108","ASV109","ASV111","ASV112","ASV113","ASV117","ASV118","ASV122","ASV125","ASV128","ASV129","ASV131","ASV132","ASV134","ASV136","ASV137","ASV138","ASV141","ASV142","ASV147","ASV152","ASV153","ASV154","ASV157","ASV158","ASV161","ASV163","ASV164","ASV166","ASV169","ASV171","ASV172","ASV176","ASV180","ASV186","ASV188","ASV190","ASV191","ASV193","ASV198","ASV201","ASV206","ASV211","ASV213","ASV229","ASV230","ASV231","ASV234","ASV236","ASV237","ASV238","ASV239","ASV241","ASV245","ASV252","ASV254","ASV255","ASV260","ASV261","ASV265","ASV271","ASV272","ASV273","ASV275","ASV276","ASV283","ASV288","ASV291","ASV310","ASV312","ASV315","ASV318","ASV319","ASV324","ASV325","ASV332","ASV336","ASV352","ASV353","ASV354","ASV356","ASV366","ASV367","ASV383","ASV384","ASV391","ASV396","ASV400","ASV402","ASV409","ASV410","ASV411","ASV419","ASV423","ASV425","ASV429","ASV431","ASV432","ASV440","ASV444","ASV448","ASV450","ASV458","ASV466","ASV475","ASV490","ASV507","ASV515","ASV531","ASV538","ASV546","ASV547","ASV571","ASV585","ASV588","ASV597","ASV604","ASV609","ASV612","ASV619","ASV634","ASV644","ASV645","ASV652","ASV658","ASV662","ASV670","ASV677","ASV685","ASV691","ASV692","ASV698","ASV708","ASV716","ASV742","ASV752","ASV766","ASV767","ASV780","ASV783","ASV825","ASV830","ASV846","ASV853","ASV857","ASV880","ASV928","ASV943","ASV946","ASV956","ASV959","ASV979","ASV1004","ASV1025","ASV1030","ASV1037","ASV1061","ASV1078","ASV1106","ASV1139","ASV1173","ASV1175","ASV1182","ASV1194","ASV1209","ASV1213","ASV1214","ASV1223","ASV1229","ASV1237","ASV1240","ASV1281","ASV1299","ASV1345","ASV1353","ASV1404","ASV1405","ASV1436"
"205",799,386,558,0,0,0,0,195,0,72,0,0,0,292,0,0,266,0,0,0,0,0,0,70,0,0,95,0,0,184,211,0,0,178,54,0,0,1809,322,495,15,0,0,652,0,0,2048,239,0,0,0,1401,364,40,70,0,220,0,573,0,0,476,452,345,1531,153,178,0,302,0,0,0,288,264,0,0,120,206,250,214,785,298,305,12,236,0,501,0,298,137,370,0,0,0,0,0,229,0,0,261,194,515,242,0,170,0,253,139,0,0,217,0,0,216,0,191,0,217,0,0,0,0,100,283,0,0,0,0,1019,0,0,0,0,0,0,0,0,207,0,222,0,0,0,122,0,0,0,0,181,0,0,225,731,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,10,0,0,144,7,0,0,0,0,0,41,0,0,0,51,0,0,0,0,0,0,0,0,0,250,0,0,0,50,0,134,0,0,0,0,0,0,0,0
"206",696,119,497,73,11,0,0,126,0,0,145,81,0,142,0,45,209,42,0,0,29,0,0,32,0,24,46,0,0,102,160,33,95,144,86,15,23,523,240,268,11,0,3,388,156,0,555,694,0,69,102,372,81,0,0,0,83,4,288,0,18,329,290,150,447,85,0,95,264,28,170,0,0,152,0,0,54,109,71,517,389,98,403,0,69,26,200,0,239,82,163,57,26,0,106,0,192,0,61,113,67,280,36,0,130,0,0,44,55,41,62,0,29,107,0,106,81,282,27,0,81,0,130,139,30,0,0,8,125,0,0,0,0,0,0,43,99,39,0,38,8,0,36,0,0,0,76,88,61,0,0,100,93,39,0,17,0,76,0,20,119,0,13,0,5,23,0,0,39,0,0,0,36,0,122,28,0,0,0,0,25,0,32,0,0,0,0,0,4,0,35,0,0,0,0,0,37,0,18,0,12,0,55,65,39,0,0,0,0,0,0,0,0,0,0,0,0,41,25,48,0,33,35,0,0,12,0,0,16,16,0,0
"207",2276,95,1640,86,32,139,0,116,0,0,211,182,0,345,0,0,248,0,0,0,0,15,0,102,0,0,0,73,0,147,209,85,187,270,0,18,0,366,505,346,0,17,0,536,0,0,3202,0,73,131,197,263,85,0,0,0,162,0,466,0,255,653,385,270,2263,113,0,0,147,0,332,0,188,227,0,0,250,223,129,0,1437,164,97,0,165,0,381,0,493,86,0,73,0,0,0,0,0,0,184,140,214,979,0,214,178,0,88,176,100,0,130,0,0,0,0,109,0,0,130,8,0,0,0,0,46,0,0,15,140,0,0,0,0,0,0,0,120,138,59,0,0,0,0,0,0,0,86,113,125,15,0,0,0,0,0,0,0,0,0,44,131,0,0,0,0,0,0,0,219,0,0,0,0,0,0,68,0,0,0,31,67,0,100,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,17,0,0,0,0,0,0,109,0,0,0,10,0,0,0,0,0,0,0,0,0
"208",335,78,248,0,59,0,0,46,0,0,79,0,41,382,0,17,258,70,0,0,0,0,0,61,0,0,89,39,0,69,209,50,278,139,47,11,0,179,247,62,23,0,25,432,85,0,104,128,0,35,109,141,18,0,0,0,96,0,382,0,156,287,316,51,75,36,0,0,47,0,195,63,107,153,11,0,151,313,109,96,202,74,86,0,158,0,281,0,202,112,0,0,0,0,0,0,0,5,119,91,239,154,94,115,95,0,102,117,74,0,75,0,71,0,0,70,0,53,0,81,60,0,222,196,0,0,58,491,0,0,0,66,0,94,22,0,161,104,80,74,0,0,0,375,31,0,49,73,70,0,50,63,32,0,0,0,0,0,60,0,148,0,0,0,53,79,5,0,85,0,0,0,74,41,105,50,0,0,0,0,28,27,83,0,0,0,0,55,0,0,72,7,0,0,7,0,0,0,0,0,16,0,52,32,0,55,0,15,0,0,0,0,19,0,0,0,0,0,41,0,14,0,11,40,0,0,0,0,0,0,0,0
"209",1145,345,871,267,85,286,34,179,0,0,205,133,146,221,0,247,903,89,0,0,0,0,0,74,0,0,125,0,0,147,651,0,152,309,256,13,0,1547,345,416,89,0,0,964,0,0,242,340,0,0,0,1182,185,0,0,116,102,0,530,0,0,620,747,261,188,164,0,0,257,0,231,0,256,311,0,0,256,399,246,232,105,323,0,0,420,0,337,0,440,88,0,0,22,0,0,0,0,0,134,264,372,0,0,0,238,0,201,0,211,0,0,0,0,0,0,289,0,0,55,0,272,0,334,0,0,0,0,0,0,0,173,0,0,347,0,0,239,0,0,0,0,0,151,0,0,0,179,0,0,0,0,139,26,0,0,0,0,0,0,135,0,0,0,0,0,0,0,129,0,0,0,0,0,0,89,122,0,0,217,0,68,0,0,0,0,0,0,140,0,131,138,0,17,7,0,0,205,0,0,0,0,30,0,43,0,0,0,0,32,0,0,0,33,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,68
"210",710,1198,463,930,153,715,18,80,0,0,120,96,0,145,0,484,806,0,0,0,210,54,0,80,0,0,66,0,0,0,569,161,0,190,307,0,0,679,348,248,117,51,0,398,0,158,0,241,59,0,0,488,67,0,0,71,0,0,354,0,0,496,310,0,46,174,17,0,185,0,278,0,185,178,0,0,145,500,286,0,47,495,0,0,272,0,248,57,404,0,408,0,0,0,0,0,144,0,125,161,405,0,218,0,164,0,102,135,206,0,0,0,0,224,0,175,0,0,0,44,338,0,210,0,0,0,0,0,0,0,0,0,0,177,0,42,0,75,0,0,0,0,0,0,0,0,0,0,202,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,49,0,0,0,63,0,0,0,113,0,0,0,0,0,0,46,0,0,0,280,0,0,0,0,0,0,0,0,67,0,0,9,0,0,0,0,0,0,0,53,0,0,11,0,37,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"211",2537,588,2028,452,56,306,0,231,0,22,314,229,0,0,0,233,625,0,0,19,0,0,0,187,0,0,0,127,0,219,520,151,0,206,202,0,0,1590,552,698,0,0,0,620,0,0,267,151,87,146,0,1109,127,0,0,0,0,0,323,59,0,358,470,525,204,195,0,0,0,0,0,0,262,610,0,14,12,333,109,226,231,618,0,0,722,0,262,0,258,63,0,0,0,0,0,0,75,0,166,313,248,0,0,0,508,0,238,0,115,0,0,0,0,0,0,0,0,0,0,0,484,155,1029,0,0,0,0,0,0,0,14,0,0,423,0,0,734,20,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,19,0,0,156,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
"212",1706,68,1239,44,96,50,0,66,0,8,163,81,62,334,0,0,322,85,15,8,0,0,0,86,0,0,55,84,0,105,260,62,251,130,88,0,0,518,181,284,0,0,0,224,101,0,157,418,0,0,120,429,81,0,0,0,132,0,351,0,310,371,199,199,115,92,12,0,123,5,151,45,50,146,10,0,71,305,158,292,224,104,221,0,198,0,263,0,273,80,135,0,0,0,82,0,82,0,130,120,224,167,0,189,104,0,0,0,130,0,125,30,36,89,0,97,0,160,25,0,86,0,252,0,98,116,53,222,494,2,0,0,0,123,0,0,180,81,0,90,0,0,0,175,0,0,63,91,78,0,21,0,343,0,0,0,25,123,0,0,0,2,0,0,46,52,0,27,0,0,18,0,67,0,68,101,0,0,0,0,83,0,40,0,0,0,0,49,0,0,66,0,0,0,0,0,27,0,0,0,39,0,0,0,18,0,0,0,0,9,0,0,26,0,0,0,87,0,0,57,13,0,0,0,0,0,0,0,0,119,0,20
"213",1177,587,925,0,0,0,0,267,0,0,448,153,0,264,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,386,0,0,105,647,522,301,0,0,0,366,0,0,772,363,0,224,0,513,513,0,0,0,204,0,474,0,272,471,357,272,496,230,0,0,0,0,0,0,0,408,0,0,0,391,136,318,499,678,184,0,301,0,0,0,292,0,576,0,45,0,0,0,193,0,417,315,264,377,133,0,258,0,133,0,91,0,0,0,0,445,0,235,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,391,0,0,0,0,0,37,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,125,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,91,0,0,0,0,150,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,125,102,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,26,335,0,0,0,0,0,0,374,0
"214",1217,194,867,0,0,0,0,0,38,0,201,76,107,125,0,0,256,0,12,0,0,0,0,0,6,0,0,0,0,0,229,89,0,249,65,0,92,636,299,321,15,0,0,834,0,0,723,212,0,0,0,435,128,0,0,0,310,0,400,33,105,433,594,252,575,137,44,0,125,0,263,0,133,286,12,0,54,183,139,0,1024,228,283,0,123,0,299,0,319,77,0,0,0,0,154,0,0,0,119,246,125,766,91,0,197,0,0,0,93,0,239,0,0,118,0,233,0,0,60,0,172,0,121,0,78,0,0,0,151,0,0,0,0,87,0,0,100,283,57,0,0,0,0,73,0,0,190,0,181,0,0,79,159,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,76,0,0,0,0,0,69,0,0,0,0,136,0,47,0,45,66,0,0,16,0,0,58,0,0,0,0,0,0,0,83,0,9,0,0,0,11,0,0,0,0,0,0,0,112,44,0,0,0,104,0,0,0,0,0,0,0,0
