"sign.s.Control","sign.s.High","sign.s.Low","sign.index","sign.stat","sign.p.value"
0,1,0,2,0.251748733498326,0.3548
1,0,1,5,0.279524979129845,0.2698
0,0,1,3,0.239414035062878,0.3817
0,1,0,2,0.345370108237544,0.1289
1,1,0,4,0.118319396123696,0.8159
0,1,0,2,0.155059760939959,0.6897
1,0,0,1,0.229813397190523,0.4286
0,1,1,6,0.114077260964314,0.8119
0,1,0,2,0.219466395499344,0.4622
1,0,0,1,0.152498570332605,0.6942
0,1,1,6,0.0421734337159589,0.9753
1,1,0,4,0.096769348599675,0.8675
0,1,1,6,0.0585588411566192,0.9492
1,0,1,5,0.287924109697595,0.2543
0,1,1,6,0.0979278211937992,0.862
0,1,1,6,0.093229957487405,0.8808
0,1,1,6,0.207603794827341,0.5041
0,1,1,6,0.180900831714898,0.5909
0,1,1,6,0.159460965921401,0.7099
NA,NA,NA,NA,NA,NA
0,1,0,2,0.0844973648974802,0.8995
0,1,0,2,0.160983835114572,0.6806
1,0,1,5,0.121976432480257,0.8269
1,0,0,1,0.0775535550290863,0.9074
1,1,0,4,0.377009299473514,0.0845
0,1,0,2,0.192855479610281,0.5605
0,0,1,3,0.22923814188275,0.4555
1,0,0,1,0.156257897770967,0.6748
0,1,0,2,0.167202621700896,0.6595
0,1,1,6,0.0674348854812176,0.9351
0,1,1,6,0.315271287460898,0.1884
1,1,0,4,0.384283304187853,0.0771
0,1,1,6,0.111015008051375,0.8164
1,0,1,5,0.0840560005727092,0.8938
0,0,1,3,0.210141484750457,0.4871
0,0,1,3,0.228209411973367,0.425
0,1,0,2,0.0972873943086333,0.8651
0,0,1,3,0.0541752827266401,0.9772
0,1,0,2,0.353619095845861,0.0894
1,1,0,4,0.330682797200605,0.1588
1,1,0,4,0.369691337268392,0.0957
1,1,0,4,0.140262331507015,0.7449
0,1,1,6,0.320928762539802,0.1421
1,1,0,4,0.0571036550530523,0.9518
1,1,0,4,0.272655566320205,0.3001
0,1,0,2,0.239045721866879,1
1,1,0,4,0.247952290545768,0.3735
NA,NA,NA,NA,NA,NA
0,1,0,2,0.289049219283666,0.2523
0,1,0,2,0.106845962930971,0.8276
1,1,0,4,0.159777541186013,0.6702
1,0,1,5,0.152860363555032,0.6767
0,1,0,2,0.24457066153405,0.7145
0,0,1,3,0.261130119796476,0.5284
1,0,1,5,0.19933246396687,0.5632
1,0,0,1,0.207735688474236,0.492
0,1,1,6,0.314720714869025,0.2066
0,1,0,2,0.232682819947533,0.4124
0,1,0,2,0.153596220296474,0.6798
0,1,0,2,0.371672711491987,0.0977
1,0,0,1,0.254366397621876,0.3546
0,0,1,3,0.0244345042759508,0.9887
0,1,0,2,0.127964285230276,0.7983
1,0,0,1,0.23056678409033,0.408
0,1,0,2,0.0231994209496795,1
1,1,0,4,0.269420346637235,0.3127
1,0,1,5,0.332042606950647,0.1583
1,1,0,4,0.20519073654161,0.5078
0,1,0,2,0.149073936338467,0.6967
1,0,1,5,0.118905064512799,0.7995
0,1,0,2,0.324620038486918,0.1728
1,0,1,5,0.215435713561349,0.5745
0,1,0,2,0.22058123522043,0.5045
0,1,1,6,0.307003439760566,0.2099
0,0,1,3,0.326538383130992,0.1658
1,0,1,5,0.105183641366858,0.8573
0,1,1,6,0.188841799172161,0.5751
0,1,0,2,0.185205132622696,0.5917
1,0,0,1,0.199483968487193,0.5104
0,1,1,6,0.264840605410496,0.3311
0,1,1,6,0.269822035394719,0.2975
1,1,0,4,0.257325117732833,0.4467
0,1,0,2,0.398462040637862,0.0623
0,0,1,3,0.194945441150589,0.5276
0,0,1,3,0.0614964641921045,0.9504
0,1,0,2,0.132340336627574,0.814
1,0,1,5,0.104414586904646,0.91
0,0,1,3,0.165386045055635,0.7274
0,1,0,2,0.0996407210477658,0.8544
0,1,0,2,0.283336981865124,0.2627
1,1,0,4,0.201790941098273,0.5926
1,0,0,1,0.284440915910934,0.2621
0,1,0,2,0.212517367678636,0.4683
0,1,0,2,0.251093559393525,0.3592
1,1,0,4,0.242380456399065,0.3991
1,0,1,5,0.286327082829582,0.2519
0,1,0,2,0.19584028081176,0.5849
1,1,0,4,0.092928031119455,0.8917
0,1,0,2,0.358921661346015,0.1144
1,1,0,4,0.17287758768206,0.6198
1,0,0,1,0.235441254581956,0.3958
0,1,0,2,0.133953200006578,0.7546
0,0,1,3,0.177328076557987,0.6186
0,1,0,2,0.232582092352848,0.4234
1,0,0,1,0.300945506212964,0.2177
0,0,1,3,0.0375325375604243,0.9796
0,0,1,3,0.232781425629767,0.469
0,1,1,6,0.210517116780662,0.4866
1,0,1,5,0.164329749262803,0.6401
0,1,1,6,0.187121011596555,0.639
1,0,1,5,0.11384840170811,0.8139
0,1,0,2,0.312851881856668,0.1902
1,0,0,1,0.285236841491175,0.2664
0,1,0,2,0.251168657109096,0.3658
0,1,1,6,0.205663766334473,0.4914
1,0,0,1,0.17890562018772,0.6048
1,0,0,1,0.292690990968858,0.2443
NA,NA,NA,NA,NA,NA
1,0,0,1,0.238959919907281,0.3937
