"","ASV4","ASV6","ASV7","ASV9","ASV13","ASV23","ASV29","ASV32","ASV35","ASV41","ASV55","ASV57","ASV59","ASV75","ASV80","ASV87","ASV90","ASV94","ASV95","ASV96","ASV100","ASV104","ASV111","ASV117","ASV118","ASV122","ASV129","ASV136","ASV142","ASV147","ASV154","ASV157","ASV158","ASV161","ASV166","ASV167","ASV180","ASV188","ASV190","ASV191","ASV201","ASV211","ASV219","ASV227","ASV230","ASV231","ASV236","ASV237","ASV238","ASV245","ASV252","ASV258","ASV265","ASV271","ASV275","ASV297","ASV324","ASV328","ASV332","ASV348","ASV353","ASV381","ASV384","ASV390","ASV397","ASV400","ASV409","ASV410","ASV423","ASV429","ASV431","ASV432","ASV438","ASV450","ASV453","ASV461","ASV478","ASV511","ASV516","ASV534","ASV547","ASV553","ASV585","ASV591","ASV596","ASV597","ASV606","ASV613","ASV622","ASV630","ASV653","ASV665","ASV674","ASV682","ASV711","ASV723","ASV732","ASV745","ASV752","ASV774","ASV777","ASV790","ASV803","ASV816","ASV820","ASV827","ASV849","ASV852","ASV860","ASV914","ASV934","ASV936","ASV942","ASV953","ASV987","ASV997","ASV998","ASV999","ASV1032","ASV1063","ASV1066","ASV1074","ASV1076","ASV1077","ASV1081","ASV1093","ASV1104","ASV1119","ASV1121","ASV1126","ASV1131","ASV1133","ASV1148","ASV1169","ASV1180","ASV1191","ASV1193","ASV1211","ASV1221","ASV1224","ASV1226","ASV1234","ASV1251","ASV1264","ASV1265","ASV1270","ASV1272","ASV1287","ASV1293","ASV1301","ASV1325","ASV1338","ASV1346","ASV1352","ASV1360","ASV1400","ASV1411","ASV1419","ASV1428","ASV1439","ASV1464","ASV1490","ASV1509","ASV1532","ASV1538","ASV1546","ASV1548","ASV1568","ASV1584","ASV1592","ASV1596","ASV1649","ASV1666","ASV1685","ASV1688","ASV1713","ASV1727","ASV1735","ASV1741","ASV1752","ASV1757","ASV1758","ASV1766","ASV1767"
"T10-1-S",0,9.69810211047429,0,9.24478774068127,8.49434140596,0,8.23210689437892,7.83370817961206,7.94869885173652,0,0,0,0,0,9.18349058463458,0,0,0,0,0,8.6833267416794,0,5.77156236838922,0,0,0,0,0,0,0,0,0,0,0,6.95452659351374,0,0,0,0,0,0,0,0,0,6.79973614797564,0,0,0,7.49833644961743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59192637237594,0,0,0,0,0,0,0,7.68683187906477,0,6.00206073948033,0,0,6.57950034898577,0,0,6.87920635866803,0,0,6.42917240248267,0,0,0,0,0,0,0,0,0,4.52869751337793,0,0,0,0,0,0,0,0,0,0,0,0,7.09430667926778,7.75161797278544,0,0,0,4.06805772094343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T10-2-S",0,5.20082055403923,0,5.59399294481677,0,0,6.718438893633,0,6.25166398031754,0,0,0,6.11948856239138,0,7.33720670856555,5.48100263271275,0,5.62977191253122,0,4.58762117583105,7.08993743087872,6.37273969322915,0,7.92820007558862,5.62977191253122,0,0,4.06756399859258,0,5.85808658154084,0,0,0,0,6.27444702674131,5.59399294481677,7.53885303727424,0,6.89053252736262,5.97397098846934,5.0766924590071,0,0,5.20082055403923,0,0,0,5.40043933529317,5.73207432727625,0,0,6.19308074881559,6.6151293736288,6.55126229562144,0,0,6.63286957762004,0,0,0,5.91719202348159,5.02388797597567,0,5.93159762940656,0,6.6932967512945,6.48443637639145,5.69877309824772,0,0,7.08993743087872,0,0,5.10238718511851,0,5.0766924590071,0,4.65861855275057,0,4.26249661226377,6.16896473222973,6.18107313019862,0,0,0,5.51965770777308,5.74844105308842,5.29296475050639,0,0,0,0,0,0,4.21617669927514,5.10238718511851,0,0,0,0,0,4.94087048124337,0,0,6.87570884233325,0,0,0,0,0,0,0,0,4.11882147836748,3.15113887992115,5.66468498946988,3.15113887992115,0,0,0,5.31510973150998,0,0,0,0,0,0,0,5.10238718511851,4.0144180931824,0,0,6.45482114053697,6.18107313019862,0,0,5.24762817762153,0,0,0,0,0,0,0,0,5.40043933529317,0,0,0,0,0,0,0,0,0,4.16832014255712,0,4.06756399859258,0,0,5.24762817762153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33577222245556,0,0,0,0,0,0,5.69877309824772,0
"T11-1-S",5.79310641545213,7.09625533431484,0,6.49174046936987,6.34359921248137,0,7.39113037540907,6.40469289647373,5.45088286016368,0,0,5.26568915041114,6.9121461162917,6.00521694693397,8.07540086476652,0,0,0,0,0,7.78881955575114,5.56233180443936,0,5.61498562811431,5.63211834704612,0,0,4.50225188701093,6.72520859099586,0,0,0,0,0,6.14306950961561,0,0,7.69002251365799,4.64412645861045,5.50768325094557,0,0,0,5.6986843376445,0,0,6.51039128424181,5.17507765650227,0,0,0,6.27980355773574,0,0,5.73084991490941,0,6.35396284995076,0,0,0,0,5.3714935726919,7.44544620496887,5.41173423132761,0,0,0,0,0,0,5.15150676490794,0,5.82325535898926,0,0,0,0,4.89183349338728,0,7.41607316705195,4.25926366539989,0,0,0,5.48899716647675,0,0,0,0,0,7.26500834899397,4.60994425308006,0,0,0,0,0,0,0,5.26568915041114,5.74666771042222,0,0,0,0,0,0,0,6.20162467995318,0,0,0,6.54698479601416,0,5.82325535898926,3.10622120158281,0,5.12754436443566,0,0,0,0,6.57383340176152,0,0,0,0,0,0,0,0,0,3.79499408254712,0,0,0,0,0,0,0,0,0,0,5.96521655524928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38461442725312,0,0,0,0,0,0,0,0,0,0,0,5.79310641545213,0,6.08203683000787,2.895357115093,0,0,5.6490499919641,3.2901591685423,0,0,0,0,0,0
"T11-2-S",5.39434979791718,6.62771675003248,5.60302924981505,6.16615822607132,6.82990102615888,4.82643691689509,6.71610846740477,6.65778642432666,6.48166314720046,4.6149988990436,0,6.16016847632674,6.53355389588027,0,7.97111595495937,0,4.25922429414856,0,0,6.09886213704639,7.69065156569651,4.6149988990436,0,6.60143431329763,6.17212321048853,0,4.84148691766875,0,6.52891292681369,4.36716225075277,4.09310772764921,0,6.27547900761233,5.38410777847897,6.35104106630205,0,6.43281333708415,5.93312787333752,6.72018548069817,0,0,0,5.17427052550847,5.85370440747566,4.85638153836655,0,6.14204855713513,6.07995045222972,4.21368161503458,4.19035954686986,5.7134972095702,6.16016847632674,6.29200736602461,5.08856078753691,6.02168085626724,5.74585306116921,6.43281333708415,0,0,3.26729374198554,4.44805085700331,4.64961374891988,5.58525757701142,6.02168085626724,0,0,5.99500809851866,0,3.98882325552411,0,4.74873778896468,5.9609583675884,5.72165445669889,4.64961374891988,0,5.831262480925,0,4.46758372386167,0,0,0,0,0,5.33177777886798,4.56146775697268,4.34621105347564,5.67200445139376,0,0,5.84626248651225,3.78594923764281,5.49295917243484,5.35293809456482,4.30337317880302,4.79585756623566,0,4.30337317880302,3.47457062280651,5.79306562410856,0,4.99743566163649,0,0,5.64652363100307,0,5.15029717470623,0,0,0,0,0,3.65577419912628,0,4.30337317880302,4.68341750109849,0,0,0,0,0,0,0,0,4.59737496356782,0,2.97144265201368,0,0,5.48339606252956,0,5.06310701658313,0,6.0017226611667,0,4.94265758016862,5.29944374363193,5.800786328183,0,0,0,0,0,0,2.28329848211955,0,0,0,4.94265758016862,0,0,0,0,0,0,0,0,0,2.79713958434303,0,0,5.3210800853077,0,0,0,0,0,0,0,0,4.38781353938317,0,0,3.51267788146706,3.353809575739,0,4.52464399604426,0,0,3.90534448265178,0,0,0,0,0
"T12-1-S",0,0,0,7.28666188456778,0,0,0,0,0,0,0,0,6.52661611407732,0,8.01603735517125,0,0,0,6.62182150783237,7.33429437009591,7.8158229755842,5.82159684463338,0,6.35248997638496,0,0,0,0,0,0,0,6.02106435512478,7.23740289555764,6.99813209665989,6.88753037971549,0,0,0,6.37087928189012,5.73906232908416,0,0,0,0,0,0,0,0,5.79460658910628,0,0,0,0,0,6.60638387213138,0,6.71113122602853,0,0,6.47654880084519,0,5.35163840289292,6.29587239472813,0,6.86175669746817,0,6.35248997638496,0,0,0,0,0,4.92362959409103,6.84869510716438,0,0,0,0,0,0,0,0,0,5.87410819279547,0,0,0,0,0,5.06586346250824,5.65151808371909,0,4.58861250538876,0,0,0,0,0,4.97261559416524,0,0,0,0,0,0,0,4.31236926646252,0,0,0,0,0,0,0,0,6.04416497101685,5.11032051563362,0,3.97039836169912,5.84809141964358,0,0,5.15344846679841,0,0,6.06690151876802,7.65255564227876,7.02159984642754,0,0,0,0,0,0,0,0,0,0,0,0,4.23417222370787,4.52435074505473,7.37129949054042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99758782184325,6.15442539889741,0,0,7.02159984642754,0,0,0,0,0,0,0,0,5.71046712807041,0,0,0,0,0,0,0,0,0,0,1.63060865475928,6.06690151876802,0,0
"T12-2-S",0,8.58742101719758,0,8.80073466525858,6.64026545694499,0,7.20383266311789,0,4.49610449587717,6.89539561179667,0,0,7.00144493929287,0,7.01416933220857,0,0,0,0,5.46377949544948,6.55575558058325,0,0,0,0,0,0,0,0,6.55575558058325,5.13143364187757,0,0,0,6.62375487928165,0,6.35032465021987,6.59015582366002,7.77435330130455,0,0,0,0,0,0,0,0,0,6.37025692511948,0,0,3.8699587702181,7.2258789970487,0,0,0,0,0,0,6.85352729090036,0,7.0267824780139,0,0,0,0,5.17741105316992,5.30715557182072,0,0,0,0,0,6.37025692511948,0,5.26519062716898,0,0,6.37025692511948,6.30961442405712,0,0,0,0,0,0,4.42164934723744,5.79398797052143,5.57101006079215,0,0,4.76057742033203,3.33350820882766,6.01266099920027,0,0,6.1342106816271,0,0,0,3.33350820882766,6.08681248492774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98707200888057,8.89662277189376,0,0,0,0,0,4.07818564912911,0,0,0,0,0,0,0,0,0,8.63762409428266,0,0,0,0,0,0,0,0,4.76057742033203,0,0,0,6.60705316069206,6.70448072920806,6.08681248492774,0,0,5.38759194449504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06251634410939,5.79398797052143,0,0,0,0,0,0,0
"T14-1-S",5.35193347919965,6.74472218226584,0,0,0,0,6.62365564032209,0,5.44283338074599,0,0,0,0,6.38089075576031,7.58173574237995,5.89319072099863,0,0,0,4.43191236213592,7.3010983797807,6.79734719303806,0,6.54376615864825,0,0,0,6.96774486385556,8.19556746378002,5.25491881517193,7.46730243332271,0,4.47562579045266,0,5.1509070048939,4.63832773322805,5.37520100672866,4.51805356843853,0,0,5.77570536369647,6.83139346857597,0,6.88910698715521,0,0,8.14231389505853,4.88520616852365,0,7.01294907902126,0,0,0,0,0,6.69010466573651,6.2858688442083,0,6.17090924059974,5.97161225098856,0,0,0,0,0,0,0,0,4.43191236213592,0,4.88520616852365,0,0,6.43725055584172,6.392340231285,5.79308618544936,0,0,5.89319072099863,0,0,4.85242070453597,4.97931606197555,0,0,0,4.9486231832881,0,0,0,0,5.94075326769044,0,5.75811259098969,0,0,0,0,0,0,6.29809452488934,0,5.7403026341628,5.60906834104355,0,0,5.82723198308114,0,0,0,0,0,0,0,0,0,6.392340231285,0,0,0,5.30424146781624,5.44283338074599,0,5.95626526626837,4.78452622867584,0,0,0,0,4.97931606197555,0,0,5.09594682835865,0,0,0,0,0,0,5.4206396833616,0,0,0,4.67628958875801,0,0,5.58930671051652,0,4.9486231832881,0,0,0,0,3.36403289491186,0,0,0,0,0,0,0,6.32223939986947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43191236213592,0
"T14-2-S",4.45895321537287,7.85415809277452,0,7.53793708133995,6.4328601851309,0,6.49678112877136,6.18379272434992,4.84564403970593,6.28928967805585,3.69148807633556,4.39938881403696,6.321738794514,3.38251885876172,8.69319368867788,4.4821070338636,6.05846114936725,4.65506458342907,0,3.38251885876172,8.39762801833296,6.98818744548737,3.67148394223767,6.73226021921319,4.76298285938966,0,4.04244061342785,6.54979442756335,8.36685954807294,5.20001626534852,7.8079471846878,0,5.07614812242172,2.8173665730448,5.38336152394849,3.74988820739412,6.54155233308531,4.13299616156763,5.57322070237771,6.59563056314283,0,6.04297400403472,0,7.56122628390478,5.06085068939045,3.38251885876172,8.04310732087898,4.51615558613161,4.78176564844797,7.5448259594261,4.88959961642111,2.13099063910569,5.26152706835338,4.94063735938418,4.809489134133,7.12869807651451,0,0,7.72545948991232,7.09154289319456,5.42577522389259,4.8276798422294,0,5.91695504358549,4.809489134133,0,0,4.13299616156763,0,0,3.02079935045687,6.16245179750797,0,3.60975143012729,7.45844692697389,4.01094669100991,6.70299666354642,4.60320863204258,6.32494392298894,6.56884481799554,4.75349896014975,4.25898899215969,5.50138078603542,4.44723545015015,3.08269919625462,4.84564403970593,5.68719558880736,3.91211701467041,2.4456226781448,3.54525885926287,6.30560546510798,4.32450524109921,4.59260996226038,3.74988820739412,3.91211701467041,4.01094669100991,5.86505720932816,5.97930734736129,5.73134499890955,0,5.30761906442795,0,3.63062381630961,2.34817535979024,0,3.8776098018765,0,5.62094005935402,5.3011239672617,5.41979193289444,5.68719558880736,4.81861315845278,3.54525885926287,3.47774782715315,2.85332703603604,0,2.9226657228867,4.80030703937245,5.04538931206235,4.78176564844797,0,3.14205208978173,3.43091893089488,4.83668990168502,0,0,0,3.52310435623361,0,4.64484143394898,0,0,0,4.79106613024774,0,4.59260996226038,0,0,3.73068297389194,4.33725888044306,2.39772162656645,5.43173380283336,0,0,0,0,0,0,5.23451217382887,4.94063735938418,4.99798540436612,3.14205208978173,4.36243283017746,4.1182928103135,0,0,0,0,0,0,0,0,4.83668990168502,0,0,4.07326168799614,0,4.08842877337711,0,4.92382459907573,0,4.45895321537287,0,4.43542173176912,0,0,3.73068297389194,4.16196080758117,0,0,0,0,4.3871750361512,0
"T15-1-S",0,6.47216660056686,0,5.98194347010604,5.30459357148592,0,7.28281558822971,4.73206592318431,0,0,0,0,6.9813415218878,0,8.29277564823339,0,0,3.80178006958667,0,5.72202939928186,8.07356748656685,7.16396220532275,0,5.90800623702487,5.65128057618356,5.06707472381669,0,0,7.10892382421165,6.11276991030373,5.76454796398912,0,0,0,6.48747834813418,0,5.87733668555407,0,0,6.89594277620783,0,0,0,5.053421399614,0,4.60679524710354,6.78878245192644,0,5.50848029014405,5.61456108870567,0,5.78947033124822,0,0,6.2144249494342,4.79904999844005,6.78051879020948,3.76874006005853,5.58639484223313,5.65128057618356,0,6.77220752196716,0,5.60523330665367,0,0,6.73420266276299,0,0,0,5.52835695442223,0,5.56730713015345,0,5.18446670796801,5.15919264562114,0,6.57608543315634,6.33782395888927,5.47814219784078,0,0,0,0,5.32746366038069,0,0,6.09954421489981,4.83141074916793,5.12043145860306,5.36110306453153,5.23372409908345,3.95650155711212,0,0,4.3629528087155,6.06593960241882,0,0,4.06934229075923,0,5.56730713015345,0,0,0,4.87863026644631,4.29496018777749,0,0,0,4.6437104096237,0,0,0,0,0,4.78259328514738,0,0,5.18446670796801,0,0,0,0,2.80722476191308,2.05573790355261,0,0,0,4.14853397505757,7.02746435193206,6.06593960241882,0,0,0,0,0,5.8380595113903,0,5.02572089249279,0,4.22360397414127,0,0,0,6.46186773476515,0,6.68635014693331,0,0,0,4.14853397505757,4.66181971440229,0,0,0,0,4.76594668324218,0,5.31607393350517,0,4.87863026644631,0,0,0,4.76594668324218,0,0,0,0,0,2.74062803811296,3.70029954519135,0,4.62537089663266,0,0,0,0,0,0,0,0,0
"T15-2-S",4.9867326935025,6.18822666859801,4.85193828455149,5.96380103802339,0,0,5.51880215285828,0,0,0,0,3.18282068543484,4.89175302357172,0,7.73279269016899,4.10111351710461,0,5.56878143232151,0,6.47048427892111,7.45237645522436,5.59313643216686,2.97612289798206,7.12917892263842,7.25280876313845,0,5.51880215285828,4.10111351710461,4.6806880595679,4.3211992769679,0,5.85722703898766,0,6.6202013086451,5.90664769720894,5.00500068105837,6.83964917235531,5.50603203149944,0,5.25443218318035,3.66870594763941,0,0,5.07584375798351,6.08896219039965,5.19201877229293,4.74731144177806,7.20620038783386,4.40612983121254,0,0,5.76376565350992,0,5.50603203149944,5.69791531672555,0,5.51880215285828,0,0,6.51577946820215,3.66870594763941,6.63200376768631,0,6.45727722899663,0,5.42694239447073,5.45379025073713,0,5.81643421596847,0,0,0,5.64064663329883,2.4447848426729,3.92042804786825,6.41691478651951,6.06304093538888,6.45727722899663,0,5.99155047580573,4.53743413063857,0,0,4.83161114249081,0,0,6.16404347840421,5.42694239447073,0,5.90664769720894,6.08896219039965,5.32883356361413,4.9867326935025,0,0,0,0,0,0,5.86724753449599,0,5.38570991315068,0,0,0,4.94948777147859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85193828455149,0,0,5.35755200461808,4.4863373321174,4.83161114249081,0,1.93669741809148,5.05845644248532,0,0,5.97311028175096,0,3.84130225398094,0,4.51211193531347,3.3635817160862,0,0,0,0,0,4.83161114249081,0,0,0,0,0,0,0,5.28465470846164,0,0,5.4931478642343,0,0,0,5.42694239447073,4.3211992769679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
