"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"SampleID","T1-1","T1-15","T1-3","T1-6","T1-S-1","T1-S-2","T13-1","T13-15","T13-2-2","T13-3","T13-6","T13-S-1","T14-1","T14-15","T14-2-2","T14-3","T14-6","T14-S-1","T15-15","T15-2","T15-3","T15-S-2","T17-15","T17-2","T17-3","T17-6","T19-3","T19-6","T2-1","T2-15","T2-3","T2-6","T2-S-1","T2-S-2","T20-1","T20-15","T20-3","T20-6","T20-S-1","T20-S-2","T21-1","T21-15","T21-3","T21-6","T21-S-1","T21-S-2","T3-1","T3-15","T3-3","T3-6","T3-S-1","T3-S-2","T7-15","T7-3","T7-6","T7-S-1","T7-S-2","T8-1","T8-15","T8-3","T8-S-1","T8-S-2","T9-1","T9-15","T9-3","T9-6","T9-S-1","T9-S-2"
"Treatment","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","High temperature","High temperature","High temperature","High temperature","Control","Control","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Control","Control","Control","Control","Control","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT","Probiotics + HT"
"Age","Day 01","Day 15","Day 03","Day 06","Spat","Spat","Day 01","Day 15","Spat","Day 03","Day 06","Spat","Day 01","Day 15","Spat","Day 03","Day 06","Spat","Day 15","Day 01","Day 03","Spat","Day 15","Day 01","Day 03","Day 06","Day 03","Day 06","Day 01","Day 15","Day 03","Day 06","Spat","Spat","Day 01","Day 15","Day 03","Day 06","Spat","Spat","Day 01","Day 15","Day 03","Day 06","Spat","Spat","Day 01","Day 15","Day 03","Day 06","Spat","Spat","Day 15","Day 03","Day 06","Spat","Spat","Day 01","Day 15","Day 03","Spat","Spat","Day 01","Day 15","Day 03","Day 06","Spat","Spat"
"Genetics","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","1","1","1","1","1","1","4","4","4","4","4","4","4","4","4","4","4","4","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"Organism","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster","Pacific oyster"
"Sample.type","Larvae","Larvae","Larvae","Larvae","Spat","Spat","Larvae","Larvae","Spat","Larvae","Larvae","Spat","Larvae","Larvae","Spat","Larvae","Larvae","Spat","Larvae","Larvae","Larvae","Spat","Larvae","Larvae","Larvae","Larvae","Larvae","Larvae","Larvae","Larvae","Larvae","Larvae","Spat","Spat","Larvae","Larvae","Larvae","Larvae","Spat","Spat","Larvae","Larvae","Larvae","Larvae","Spat","Spat","Larvae","Larvae","Larvae","Larvae","Spat","Spat","Larvae","Larvae","Larvae","Spat","Spat","Larvae","Larvae","Larvae","Spat","Spat","Larvae","Larvae","Larvae","Larvae","Spat","Spat"
"ASV1"," 696"," 979"," 956","1401","  88"," 115","  69","1236"," 129"," 875"," 581"," 123","  44","1099"," 107"," 450"," 445","  86","1129","  44"," 346"," 122","1598"," 238","1165"," 714"," 140"," 310","  41"," 707","1409"," 895"," 147"," 155","  45"," 818"," 196"," 142"," 116"," 164","  62"," 969"," 957"," 498"," 239"," 230","  38","1346","1969","1073"," 112"," 111","1146"," 724"," 269"," 126"," 230","  54"," 762"," 663"," 121"," 120"," 144"," 682"," 668"," 776"," 116"," 105"
"ASV3"," 337"," 467"," 444"," 636","  39","  39","  33"," 634","  70"," 440"," 314","  70","  20"," 531","  70"," 234"," 253","  45"," 533","  21"," 149","  73"," 749"," 110"," 637"," 331","  83"," 190","   0"," 348"," 702"," 474","  71","  62","  21"," 417","  83","  71","  70","  70","  41"," 489"," 497"," 254"," 105"," 148","  20"," 708","1011"," 511","  64","  75"," 523"," 346"," 118","  50","   0","  47"," 410"," 340","  86","  93","  76"," 340"," 339"," 381","  49","  49"
"ASV6","  0","  0","  0","  0","479","367","  0","  0","415","  0","  0","367","  0","  0","257","  0","  0","259","  0","  0","  0","476","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","349","328","  0","  0","  0","  0","158","257","  0","  0","  0","  0","130"," 41","  0","  0","  0","  0","305","359","  0","  0","  0","506","274","  0","  0","  0","360","519","  0","  0","  0","  0","302","233"
"ASV7","  25","   0","  40","  74","   0","   8","   0","  13","   4","  76","  26","  17"," 404","  29","   0"," 128","  22","   0","  26"," 592"," 154","  12","  12"," 154"," 341","  22"," 294","  27","1272","   0","  94","  35","   0","   0","1319","   0"," 243","  37","   0","   0"," 367","  17"," 153","  58","   6","   0","1381","   0"," 104","  44","   0","   0","  10"," 122","  42","   4","   0"," 808","   0"," 213","   0","  12"," 884","   0"," 200","  40","  14","   0"
