Sample.ID,Treatment,Age,Family,ASV1,ASV3,ASV6,ASV7,ASV8,ASV9,ASV10,ASV11,ASV13,ASV14,ASV15,ASV16,ASV17,ASV18,ASV19,ASV21,ASV22,ASV23,ASV26,ASV27,ASV28,ASV29,ASV30,ASV31,ASV32,ASV33,ASV34,ASV35,ASV36,ASV38,ASV39,ASV40,ASV41,ASV42,ASV43,ASV44,ASV45,ASV46,ASV47,ASV48,ASV49,ASV51,ASV52,ASV53,ASV54,ASV55,ASV57,ASV59,ASV61,ASV62,ASV63,ASV64,ASV66,ASV67,ASV68,ASV69,ASV71,ASV73,ASV74,ASV75,ASV77,ASV78,ASV79,ASV82,ASV83,ASV84,ASV85,ASV86,ASV87,ASV88,ASV89,ASV91,ASV92,ASV93,ASV94,ASV95,ASV96,ASV97,ASV98,ASV99,ASV100,ASV103,ASV104,ASV105,ASV106,ASV107,ASV109,ASV110,ASV111,ASV112,ASV114,ASV115,ASV116,ASV117,ASV118,ASV119,ASV120,ASV123,ASV125,ASV126,ASV128,ASV129,ASV130,ASV131,ASV133,ASV134,ASV135,ASV136,ASV137,ASV138,ASV139,ASV140,ASV143,ASV145,ASV146,ASV147,ASV148,ASV149,ASV151,ASV152,ASV153,ASV155,ASV156,ASV157,ASV159,ASV160,ASV161,ASV162,ASV164,ASV166,ASV169,ASV171,ASV172,ASV174,ASV175,ASV176,ASV177,ASV178,ASV179,ASV180,ASV181,ASV182,ASV183,ASV184,ASV185,ASV186,ASV188,ASV189,ASV190,ASV191,ASV193,ASV194,ASV195,ASV196,ASV198,ASV200,ASV201,ASV202,ASV203,ASV204,ASV206,ASV207,ASV208,ASV209,ASV211,ASV214,ASV217,ASV218,ASV219,ASV220,ASV221,ASV222,ASV223,ASV224,ASV225,ASV226,ASV228,ASV231,ASV232,ASV233,ASV234,ASV235,ASV236,ASV237,ASV239,ASV240,ASV241,ASV242,ASV243,ASV244,ASV245,ASV246,ASV248,ASV249,ASV250,ASV253,ASV254,ASV255,ASV256,ASV257,ASV258,ASV261,ASV262,ASV264,ASV267,ASV268,ASV269,ASV270,ASV271,ASV272,ASV275,ASV276,ASV277,ASV278,ASV279,ASV281,ASV282,ASV284,ASV286,ASV287,ASV288,ASV289,ASV290,ASV291,ASV292,ASV293,ASV294,ASV295,ASV297,ASV298,ASV299,ASV301,ASV302,ASV303,ASV304,ASV305,ASV306,ASV307,ASV309,ASV310,ASV311,ASV312,ASV313,ASV314,ASV315,ASV316,ASV317,ASV318,ASV319,ASV320,ASV323,ASV325,ASV327,ASV328,ASV329,ASV330,ASV332,ASV333,ASV334,ASV335,ASV336,ASV337,ASV338,ASV340,ASV341,ASV342,ASV343,ASV344,ASV345,ASV346,ASV347,ASV348,ASV350,ASV351,ASV353,ASV354,ASV355,ASV356,ASV357,ASV360,ASV362,ASV364,ASV365,ASV367,ASV368,ASV369,ASV371,ASV373,ASV374,ASV375,ASV376,ASV377,ASV378,ASV379,ASV380,ASV381,ASV382,ASV383,ASV385,ASV386,ASV387,ASV389,ASV390,ASV393,ASV395,ASV397,ASV398,ASV399,ASV400,ASV401,ASV402,ASV403,ASV404,ASV405,ASV406,ASV407,ASV408,ASV409,ASV410,ASV411,ASV412,ASV414,ASV417,ASV418,ASV420,ASV421,ASV422,ASV424,ASV426,ASV427,ASV428,ASV431,ASV432,ASV433,ASV435,ASV437,ASV440,ASV441,ASV442,ASV443,ASV444,ASV447,ASV450,ASV451,ASV456,ASV462,ASV464,ASV466,ASV468,ASV471,ASV474,ASV477,ASV479,ASV480,ASV483,ASV486,ASV487,ASV490,ASV492,ASV496,ASV500,ASV502,ASV504,ASV506,ASV507,ASV510,ASV511,ASV517,ASV523,ASV527,ASV531,ASV535,ASV538,ASV539,ASV541,ASV542,ASV544,ASV545,ASV548,ASV549,ASV551,ASV552,ASV556,ASV563,ASV568,ASV576,ASV577,ASV578,ASV579,ASV581,ASV585,ASV597
T1-1,Control,Day 01,1,708,321,0,16,164,116,96,22,28,0,49,0,143,0,80,73,0,0,24,41,21,0,89,0,0,96,0,59,0,28,20,0,0,0,0,113,36,46,35,0,0,37,0,16,0,25,0,0,17,0,0,0,23,12,15,19,0,19,28,0,0,33,0,0,0,17,34,0,56,0,30,20,19,45,0,0,52,0,11,0,0,5,0,16,0,0,0,0,0,0,23,25,32,20,0,12,3,17,0,38,23,0,16,10,0,0,36,31,0,0,40,0,0,17,29,22,0,22,11,11,0,0,23,0,16,0,0,0,20,0,0,0,8,9,0,0,10,0,12,17,19,15,0,22,18,0,0,0,0,0,0,0,9,0,0,0,0,0,20,13,0,3,0,0,12,20,0,0,30,11,0,0,0,0,0,0,0,11,0,20,0,22,0,8,21,0,0,0,6,0,32,11,0,0,22,16,0,0,9,9,98,13,0,0,0,4,5,0,14,0,11,10,14,0,0,0,18,0,0,13,0,0,0,0,4,0,0,0,7,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,21,0,13,14,28,17,0,0,4,22,8,0,0,0,0,0,0,0,6,0,14,18,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,30,0,0,0,0,0,0,0,12,0,0,10,2,0,28,0,0,15,21,0,9,0,0,0,12,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,13,0,0,0,15,0,19,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
T1-15,Control,Day 15,1,864,454,0,0,160,179,120,33,17,0,43,0,56,0,0,148,0,0,140,22,0,0,0,0,0,78,0,132,0,80,11,0,15,0,0,25,34,22,0,0,0,0,0,40,0,26,0,0,38,0,0,0,50,0,0,73,0,8,61,0,0,14,9,25,0,25,6,0,71,0,50,0,0,19,0,0,116,0,20,0,0,0,0,11,0,0,0,0,0,0,30,19,20,36,0,0,141,30,0,0,32,0,19,0,0,0,0,170,0,0,16,0,0,1,0,0,0,0,66,40,0,3,0,0,11,0,0,0,0,0,0,0,0,21,0,0,0,0,0,25,0,12,0,0,22,0,13,14,66,0,0,0,0,0,0,0,0,0,35,21,0,30,0,0,0,5,0,0,0,13,0,0,30,10,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,25,0,0,12,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,16,82,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
T1-3,Control,Day 03,1,797,446,0,31,1445,389,48,9,29,0,49,0,53,25,22,0,0,0,0,15,0,0,32,0,0,673,0,5,0,0,51,0,0,0,0,26,3,15,20,0,0,0,0,12,0,25,0,0,5,0,0,0,0,0,2,0,9,0,0,0,48,0,0,0,0,9,0,0,0,8,36,0,0,0,0,0,0,0,8,0,0,0,0,0,0,32,0,0,0,0,0,5,0,0,0,0,0,5,0,18,0,0,0,0,0,27,0,0,3,0,15,0,0,2,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,27,0,0,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1-6,Control,Day 06,1,1307,603,0,67,60,197,120,0,73,0,51,0,54,32,22,0,0,0,171,45,0,0,0,5,0,23,0,30,29,99,61,30,32,0,0,22,19,32,0,0,0,0,0,35,0,21,0,0,37,0,0,0,90,0,10,18,0,14,18,0,496,13,0,31,0,15,21,0,20,0,15,0,0,0,0,0,0,0,17,0,0,0,0,36,0,24,0,0,0,0,5,23,12,6,0,24,0,31,0,18,0,0,5,19,29,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,10,18,0,0,18,0,0,0,0,24,0,0,0,0,4,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1-S-1,Control,Spat,1,100,51,457,0,14,0,19,138,0,248,0,125,0,0,0,10,163,163,0,0,0,72,0,69,71,3,38,4,0,18,4,0,0,65,4,5,0,0,0,22,72,0,28,8,85,0,38,123,0,0,84,57,0,0,0,17,39,3,6,110,0,0,37,9,32,0,9,112,0,27,10,5,0,0,0,52,6,17,1,29,0,0,37,11,38,0,20,31,24,0,0,0,6,15,31,0,0,0,14,0,0,13,0,0,0,0,3,0,0,30,0,0,23,0,0,0,39,0,0,0,31,10,0,23,0,0,51,24,0,36,0,19,0,0,28,22,0,10,0,0,0,0,11,0,0,0,0,0,0,20,13,11,0,7,8,26,0,11,0,0,0,0,13,0,14,0,0,5,0,0,9,8,0,7,0,14,22,0,12,0,22,0,19,7,0,20,0,13,22,0,0,4,14,13,0,0,15,0,0,0,2,3,0,0,21,15,16,6,0,0,0,0,0,0,12,13,0,6,0,0,6,19,11,11,14,0,9,15,0,7,0,0,0,6,0,13,0,0,0,5,9,14,20,6,0,0,14,0,0,0,4,0,0,16,11,1,0,0,15,0,7,0,6,0,11,5,15,0,6,0,10,0,8,0,0,0,9,0,0,12,0,8,12,15,0,0,20,0,0,0,2,0,8,0,1,9,0,6,0,0,18,0,2,0,0,0,0,9,0,0,0,0,5,15,16,6,0,0,0,15,8,4,17,4,0,9,0,8,3,0,0,0,0,5,0,20,0,0,11,0,8,9,0,0,1,0,8,5,11,0,0,8,13,3,0,0,0,11,13,0,10,3,4,0,0,0,0,6,0,13,0,0,4,0,0,0,0,5,2,13,0,3,0,4,0,0,0,1,0,0,7,0
T1-S-2,Control,Spat,1,111,69,301,10,30,11,68,158,4,181,0,183,0,0,9,19,183,86,0,0,0,26,0,82,130,0,63,22,0,12,0,0,19,91,0,12,0,0,0,33,76,0,36,4,65,0,16,147,0,0,62,58,0,0,28,0,34,0,0,228,0,0,33,32,42,0,0,46,0,27,0,0,0,0,0,16,0,40,12,33,0,0,35,0,20,0,13,34,25,0,0,0,0,19,39,0,0,0,20,0,0,29,4,0,0,0,0,0,0,28,0,0,26,0,0,0,21,0,0,0,29,24,0,14,0,0,123,0,0,15,9,30,30,4,42,26,0,19,0,0,0,0,21,0,0,0,0,0,0,30,18,6,0,0,13,10,13,13,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,11,0,0,0,12,0,0,4,0,17,0,18,17,0,0,0,0,8,0,15,16,0,0,5,0,0,0,0,26,17,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,20,17,22,16,0,15,0,0,16,0,0,0,12,0,20,0,24,9,0,24,4,32,10,12,0,10,0,0,0,20,0,0,0,32,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,13,0,0,5,0,6,0,6,0,34,0,0,0,0,0,0,13,0,24,0,0,18,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,39,0,0,8,0,9,19,0,0,0,0,3,0,0,0,0,8,0,16,3,0,0,7,0,18,2,0,6,0,0,0,2,0,0,0,7,17,0,4,0,0,0,0,0,0,0,0,15,0,3,6,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,2,0
T13-1,Control,Day 01,3,79,57,0,0,71,59,57,25,48,0,63,0,134,0,98,24,0,0,0,110,85,0,131,0,0,42,0,66,0,10,50,0,0,0,0,171,39,70,131,40,0,41,0,0,0,32,0,15,0,0,0,0,0,45,27,0,0,31,0,0,0,41,0,0,0,47,49,0,131,0,27,74,0,83,0,0,0,0,0,0,0,24,0,41,0,0,0,0,0,0,0,31,8,0,0,21,0,0,0,162,34,0,11,0,54,0,127,0,51,0,72,0,0,32,46,0,0,0,0,0,0,0,0,0,10,0,0,0,55,0,0,0,0,0,0,0,21,0,78,0,32,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,64,120,0,0,57,0,0,0,7,46,0,0,0,0,0,0,16,0,0,28,0,0,0,0,28,32,0,0,0,49,0,0,0,16,34,0,0,0,0,0,0,0,0,0,0,0,44,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,51,0,0,0,0,0,0,0,0,0,0,88,0,0,0,20,0,0,0,0,0,7,54,87,0,0,0,0,0,34,0,38,0,21,37,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,27,0,0,0,0,0,36,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,34,0,0,5,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T13-15,Control,Day 15,3,1174,561,0,8,29,48,108,56,44,0,59,0,113,0,0,232,0,0,35,23,0,0,0,26,0,0,0,140,0,58,0,0,19,0,0,25,16,73,21,8,0,0,0,47,0,19,0,0,39,0,0,0,0,0,33,90,0,0,130,0,0,0,0,0,0,35,0,0,49,0,39,0,0,8,0,0,119,0,13,0,0,0,0,0,0,0,0,0,0,0,42,10,29,27,0,0,79,29,0,0,9,0,11,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,25,29,0,12,47,0,11,0,0,0,0,0,0,0,0,35,0,0,0,38,0,39,0,8,0,37,24,6,11,0,0,0,0,0,0,0,0,0,0,0,20,36,0,57,0,0,10,12,0,46,13,5,0,0,0,10,42,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,22,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,12,0,0,0,13,14,0,0,24,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,23,0,0,14,0,0,0,4,25,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
T13-2-2,Control,Spat,3,128,84,380,15,13,19,30,135,8,197,7,132,0,0,0,27,227,181,0,0,0,305,0,98,45,0,66,21,0,6,0,0,0,103,0,0,0,29,7,40,128,0,99,0,57,0,146,13,0,0,47,37,0,0,15,0,46,0,0,0,0,0,29,32,47,0,6,41,0,26,0,0,0,0,0,63,0,34,0,57,0,0,15,11,33,0,43,42,25,0,0,0,0,10,41,0,0,0,40,0,0,34,3,0,0,0,0,0,0,25,0,0,24,0,0,0,26,0,0,0,41,30,0,0,0,0,0,0,0,0,20,10,61,5,28,27,0,0,0,0,0,0,27,0,0,0,0,0,0,22,13,0,0,15,11,25,0,18,0,0,0,0,0,32,0,0,0,0,0,0,11,28,0,0,0,23,35,0,0,0,16,0,25,0,0,18,0,3,0,0,0,0,0,3,0,0,0,11,0,0,0,9,0,0,9,12,0,16,0,0,12,0,0,0,0,12,0,15,0,0,11,7,4,12,0,0,0,0,0,7,0,0,3,0,0,0,0,29,19,0,0,10,0,12,0,0,7,0,0,0,0,0,0,0,23,0,0,0,43,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,7,19,0,12,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,9,0,12,5,0,0,0,0,7,3,0,0,0,0,0,0,16,16,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0
T13-3,Control,Day 03,3,856,390,0,60,22,104,41,35,259,0,46,0,47,45,9,22,0,0,0,69,11,0,78,0,0,0,0,0,0,0,146,141,13,0,0,0,81,56,0,0,0,0,0,71,0,68,0,0,63,0,0,0,0,0,18,15,0,51,11,0,0,32,0,39,0,39,42,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,17,0,33,0,0,24,0,1,0,0,0,0,60,26,0,37,0,0,27,0,0,0,0,35,17,104,0,46,0,0,0,12,0,0,65,0,0,0,0,0,0,0,0,0,13,0,21,0,0,0,0,57,0,30,18,33,26,15,28,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,7,0,0,11,0,23,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,8,0,0,0,0,0,0,0,17,33,0,0,15,0,0,0,0,0,20,0,0,0,0,7,0,0,0,6,0,15,0,0,0,0,0,26,19,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,9,0,45,0,0,0,24,0,8,0,13,0,0,42,0,0,0,0,0,0,0,0,0,0,23,0,68,0,0,21,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,30,0,0,0,0,0,0,0,0,0,0,0,31,0,58,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
