Sample.ID,Tank,Treatment,Age,Family,Project,ASV4,ASV6,ASV7,ASV9,ASV13,ASV23,ASV29,ASV32,ASV35,ASV41,ASV55,ASV57,ASV59,ASV75,ASV80,ASV87,ASV90,ASV94,ASV95,ASV96,ASV100,ASV104,ASV111,ASV117,ASV118,ASV122,ASV129,ASV136,ASV142,ASV147,ASV154,ASV157,ASV158,ASV161,ASV166,ASV167,ASV180,ASV188,ASV190,ASV191,ASV201,ASV211,ASV219,ASV227,ASV230,ASV231,ASV236,ASV237,ASV238,ASV245,ASV252,ASV258,ASV265,ASV271,ASV275,ASV297,ASV324,ASV328,ASV332,ASV348,ASV353,ASV381,ASV384,ASV390,ASV397,ASV400,ASV409,ASV410,ASV423,ASV429,ASV431,ASV432,ASV438,ASV450,ASV453,ASV461,ASV478,ASV511,ASV516,ASV534,ASV547,ASV553,ASV585,ASV591,ASV596,ASV597,ASV606,ASV613,ASV622,ASV630,ASV653,ASV665,ASV674,ASV682,ASV711,ASV723,ASV732,ASV745,ASV752,ASV774,ASV777,ASV790,ASV803,ASV816,ASV820,ASV827,ASV849,ASV852,ASV860,ASV914,ASV934,ASV936,ASV942,ASV953,ASV987,ASV997,ASV998,ASV999,ASV1032,ASV1063,ASV1066,ASV1074,ASV1076,ASV1077,ASV1081,ASV1093,ASV1104,ASV1119,ASV1121,ASV1126,ASV1131,ASV1133,ASV1148,ASV1169,ASV1180,ASV1191,ASV1193,ASV1211,ASV1221,ASV1224,ASV1226,ASV1234,ASV1251,ASV1264,ASV1265,ASV1270,ASV1272,ASV1287,ASV1293,ASV1301,ASV1325,ASV1338,ASV1346,ASV1352,ASV1360,ASV1400,ASV1411,ASV1419,ASV1428,ASV1439,ASV1464,ASV1490,ASV1509,ASV1532,ASV1538,ASV1546,ASV1548,ASV1568,ASV1584,ASV1592,ASV1596,ASV1649,ASV1666,ASV1685,ASV1688,ASV1713,ASV1727,ASV1735,ASV1741,ASV1752,ASV1757,ASV1758,ASV1766,ASV1767
T10-1-S,10,Control,Spat,4,PB2023,0,9.69810211,0,9.244787741,8.494341406,0,8.232106894,7.83370818,7.948698852,0,0,0,0,0,9.183490585,0,0,0,0,0,8.683326742,0,5.771562368,0,0,0,0,0,0,0,0,0,0,0,6.954526594,0,0,0,0,0,0,0,0,0,6.799736148,0,0,0,7.49833645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.591926372,0,0,0,0,0,0,0,7.686831879,0,6.002060739,0,0,6.579500349,0,0,6.879206359,0,0,6.429172402,0,0,0,0,0,0,0,0,0,4.528697513,0,0,0,0,0,0,0,0,0,0,0,0,7.094306679,7.751617973,0,0,0,4.068057721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10-2-S,10,Control,Spat,4,PB2023,0,5.200820554,0,5.593992945,0,0,6.718438894,0,6.25166398,0,0,0,6.119488562,0,7.337206709,5.481002633,0,5.629771913,0,4.587621176,7.089937431,6.372739693,0,7.928200076,5.629771913,0,0,4.067563999,0,5.858086582,0,0,0,0,6.274447027,5.593992945,7.538853037,0,6.890532527,5.973970988,5.076692459,0,0,5.200820554,0,0,0,5.400439335,5.732074327,0,0,6.193080749,6.615129374,6.551262296,0,0,6.632869578,0,0,0,5.917192023,5.023887976,0,5.931597629,0,6.693296751,6.484436376,5.698773098,0,0,7.089937431,0,0,5.102387185,0,5.076692459,0,4.658618553,0,4.262496612,6.168964732,6.18107313,0,0,0,5.519657708,5.748441053,5.292964751,0,0,0,0,0,0,4.216176699,5.102387185,0,0,0,0,0,4.940870481,0,0,6.875708842,0,0,0,0,0,0,0,0,4.118821478,3.15113888,5.664684989,3.15113888,0,0,0,5.315109732,0,0,0,0,0,0,0,5.102387185,4.014418093,0,0,6.454821141,6.18107313,0,0,5.247628178,0,0,0,0,0,0,0,0,5.400439335,0,0,0,0,0,0,0,0,0,4.168320143,0,4.067563999,0,0,5.247628178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.335772222,0,0,0,0,0,0,5.698773098,0
T11-1-S,11,Probiotics,Spat,1,PB2023,5.793106415,7.096255334,0,6.491740469,6.343599212,0,7.391130375,6.404692896,5.45088286,0,0,5.26568915,6.912146116,6.005216947,8.075400865,0,0,0,0,0,7.788819556,5.562331804,0,5.614985628,5.632118347,0,0,4.502251887,6.725208591,0,0,0,0,0,6.14306951,0,0,7.690022514,4.644126459,5.507683251,0,0,0,5.698684338,0,0,6.510391284,5.175077657,0,0,0,6.279803558,0,0,5.730849915,0,6.35396285,0,0,0,0,5.371493573,7.445446205,5.411734231,0,0,0,0,0,0,5.151506765,0,5.823255359,0,0,0,0,4.891833493,0,7.416073167,4.259263665,0,0,0,5.488997166,0,0,0,0,0,7.265008349,4.609944253,0,0,0,0,0,0,0,5.26568915,5.74666771,0,0,0,0,0,0,0,6.20162468,0,0,0,6.546984796,0,5.823255359,3.106221202,0,5.127544364,0,0,0,0,6.573833402,0,0,0,0,0,0,0,0,0,3.794994083,0,0,0,0,0,0,0,0,0,0,5.965216555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.384614427,0,0,0,0,0,0,0,0,0,0,0,5.793106415,0,6.08203683,2.895357115,0,0,5.649049992,3.290159169,0,0,0,0,0,0
T11-2-S,11,Probiotics,Spat,1,PB2023,5.394349798,6.62771675,5.60302925,6.166158226,6.829901026,4.826436917,6.716108467,6.657786424,6.481663147,4.614998899,0,6.160168476,6.533553896,0,7.971115955,0,4.259224294,0,0,6.098862137,7.690651566,4.614998899,0,6.601434313,6.17212321,0,4.841486918,0,6.528912927,4.367162251,4.093107728,0,6.275479008,5.384107778,6.351041066,0,6.432813337,5.933127873,6.720185481,0,0,0,5.174270526,5.853704407,4.856381538,0,6.142048557,6.079950452,4.213681615,4.190359547,5.71349721,6.160168476,6.292007366,5.088560788,6.021680856,5.745853061,6.432813337,0,0,3.267293742,4.448050857,4.649613749,5.585257577,6.021680856,0,0,5.995008099,0,3.988823256,0,4.748737789,5.960958368,5.721654457,4.649613749,0,5.831262481,0,4.467583724,0,0,0,0,0,5.331777779,4.561467757,4.346211053,5.672004451,0,0,5.846262487,3.785949238,5.492959172,5.352938095,4.303373179,4.795857566,0,4.303373179,3.474570623,5.793065624,0,4.997435662,0,0,5.646523631,0,5.150297175,0,0,0,0,0,3.655774199,0,4.303373179,4.683417501,0,0,0,0,0,0,0,0,4.597374964,0,2.971442652,0,0,5.483396063,0,5.063107017,0,6.001722661,0,4.94265758,5.299443744,5.800786328,0,0,0,0,0,0,2.283298482,0,0,0,4.94265758,0,0,0,0,0,0,0,0,0,2.797139584,0,0,5.321080085,0,0,0,0,0,0,0,0,4.387813539,0,0,3.512677881,3.353809576,0,4.524643996,0,0,3.905344483,0,0,0,0,0
T12-1-S,12,Probiotics,Spat,2,PB2023,0,0,0,7.286661885,0,0,0,0,0,0,0,0,6.526616114,0,8.016037355,0,0,0,6.621821508,7.33429437,7.815822976,5.821596845,0,6.352489976,0,0,0,0,0,0,0,6.021064355,7.237402896,6.998132097,6.88753038,0,0,0,6.370879282,5.739062329,0,0,0,0,0,0,0,0,5.794606589,0,0,0,0,0,6.606383872,0,6.711131226,0,0,6.476548801,0,5.351638403,6.295872395,0,6.861756697,0,6.352489976,0,0,0,0,0,4.923629594,6.848695107,0,0,0,0,0,0,0,0,0,5.874108193,0,0,0,0,0,5.065863463,5.651518084,0,4.588612505,0,0,0,0,0,4.972615594,0,0,0,0,0,0,0,4.312369266,0,0,0,0,0,0,0,0,6.044164971,5.110320516,0,3.970398362,5.84809142,0,0,5.153448467,0,0,6.066901519,7.652555642,7.021599846,0,0,0,0,0,0,0,0,0,0,0,0,4.234172224,4.524350745,7.371299491,0,0,0,0,0,0,0,0,0,0,0,0,0,5.997587822,6.154425399,0,0,7.021599846,0,0,0,0,0,0,0,0,5.710467128,0,0,0,0,0,0,0,0,0,0,1.630608655,6.066901519,0,0
T12-2-S,12,Probiotics,Spat,2,PB2023,0,8.587421017,0,8.800734665,6.640265457,0,7.203832663,0,4.496104496,6.895395612,0,0,7.001444939,0,7.014169332,0,0,0,0,5.463779495,6.555755581,0,0,0,0,0,0,0,0,6.555755581,5.131433642,0,0,0,6.623754879,0,6.35032465,6.590155824,7.774353301,0,0,0,0,0,0,0,0,0,6.370256925,0,0,3.86995877,7.225878997,0,0,0,0,0,0,6.853527291,0,7.026782478,0,0,0,0,5.177411053,5.307155572,0,0,0,0,0,6.370256925,0,5.265190627,0,0,6.370256925,6.309614424,0,0,0,0,0,0,4.421649347,5.793987971,5.571010061,0,0,4.76057742,3.333508209,6.012660999,0,0,6.134210682,0,0,0,3.333508209,6.086812485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.987072009,8.896622772,0,0,0,0,0,4.078185649,0,0,0,0,0,0,0,0,0,8.637624094,0,0,0,0,0,0,0,0,4.76057742,0,0,0,6.607053161,6.704480729,6.086812485,0,0,5.387591944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.062516344,5.793987971,0,0,0,0,0,0,0
T14-1-S,14,Probiotics,Spat,4,PB2023,5.351933479,6.744722182,0,0,0,0,6.62365564,0,5.442833381,0,0,0,0,6.380890756,7.581735742,5.893190721,0,0,0,4.431912362,7.30109838,6.797347193,0,6.543766159,0,0,0,6.967744864,8.195567464,5.254918815,7.467302433,0,4.47562579,0,5.150907005,4.638327733,5.375201007,4.518053568,0,0,5.775705364,6.831393469,0,6.889106987,0,0,8.142313895,4.885206169,0,7.012949079,0,0,0,0,0,6.690104666,6.285868844,0,6.170909241,5.971612251,0,0,0,0,0,0,0,0,4.431912362,0,4.885206169,0,0,6.437250556,6.392340231,5.793086185,0,0,5.893190721,0,0,4.852420705,4.979316062,0,0,0,4.948623183,0,0,0,0,5.940753268,0,5.758112591,0,0,0,0,0,0,6.298094525,0,5.740302634,5.609068341,0,0,5.827231983,0,0,0,0,0,0,0,0,0,6.392340231,0,0,0,5.304241468,5.442833381,0,5.956265266,4.784526229,0,0,0,0,4.979316062,0,0,5.095946828,0,0,0,0,0,0,5.420639683,0,0,0,4.676289589,0,0,5.589306711,0,4.948623183,0,0,0,0,3.364032895,0,0,0,0,0,0,0,6.3222394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.431912362,0
T14-2-S,14,Probiotics,Spat,4,PB2023,4.458953215,7.854158093,0,7.537937081,6.432860185,0,6.496781129,6.183792724,4.84564404,6.289289678,3.691488076,4.399388814,6.321738795,3.382518859,8.693193689,4.482107034,6.058461149,4.655064583,0,3.382518859,8.397628018,6.988187445,3.671483942,6.732260219,4.762982859,0,4.042440613,6.549794428,8.366859548,5.200016265,7.807947185,0,5.076148122,2.817366573,5.383361524,3.749888207,6.541552333,4.132996162,5.573220702,6.595630563,0,6.042974004,0,7.561226284,5.060850689,3.382518859,8.043107321,4.516155586,4.781765648,7.544825959,4.889599616,2.130990639,5.261527068,4.940637359,4.809489134,7.128698077,0,0,7.72545949,7.091542893,5.425775224,4.827679842,0,5.916955044,4.809489134,0,0,4.132996162,0,0,3.02079935,6.162451798,0,3.60975143,7.458446927,4.010946691,6.702996664,4.603208632,6.324943923,6.568844818,4.75349896,4.258988992,5.501380786,4.44723545,3.082699196,4.84564404,5.687195589,3.912117015,2.445622678,3.545258859,6.305605465,4.324505241,4.592609962,3.749888207,3.912117015,4.010946691,5.865057209,5.979307347,5.731344999,0,5.307619064,0,3.630623816,2.34817536,0,3.877609802,0,5.620940059,5.301123967,5.419791933,5.687195589,4.818613158,3.545258859,3.477747827,2.853327036,0,2.922665723,4.800307039,5.045389312,4.781765648,0,3.14205209,3.430918931,4.836689902,0,0,0,3.523104356,0,4.644841434,0,0,0,4.79106613,0,4.592609962,0,0,3.730682974,4.33725888,2.397721627,5.431733803,0,0,0,0,0,0,5.234512174,4.940637359,4.997985404,3.14205209,4.36243283,4.11829281,0,0,0,0,0,0,0,0,4.836689902,0,0,4.073261688,0,4.088428773,0,4.923824599,0,4.458953215,0,4.435421732,0,0,3.730682974,4.161960808,0,0,0,0,4.387175036,0
T15-1-S,15,Killed-Probiotics,Spat,1,PB2023,0,6.472166601,0,5.98194347,5.304593571,0,7.282815588,4.732065923,0,0,0,0,6.981341522,0,8.292775648,0,0,3.80178007,0,5.722029399,8.073567487,7.163962205,0,5.908006237,5.651280576,5.067074724,0,0,7.108923824,6.11276991,5.764547964,0,0,0,6.487478348,0,5.877336686,0,0,6.895942776,0,0,0,5.0534214,0,4.606795247,6.788782452,0,5.50848029,5.614561089,0,5.789470331,0,0,6.214424949,4.799049998,6.78051879,3.76874006,5.586394842,5.651280576,0,6.772207522,0,5.605233307,0,0,6.734202663,0,0,0,5.528356954,0,5.56730713,0,5.184466708,5.159192646,0,6.576085433,6.337823959,5.478142198,0,0,0,0,5.32746366,0,0,6.099544215,4.831410749,5.120431459,5.361103065,5.233724099,3.956501557,0,0,4.362952809,6.065939602,0,0,4.069342291,0,5.56730713,0,0,0,4.878630266,4.294960188,0,0,0,4.64371041,0,0,0,0,0,4.782593285,0,0,5.184466708,0,0,0,0,2.807224762,2.055737904,0,0,0,4.148533975,7.027464352,6.065939602,0,0,0,0,0,5.838059511,0,5.025720892,0,4.223603974,0,0,0,6.461867735,0,6.686350147,0,0,0,4.148533975,4.661819714,0,0,0,0,4.765946683,0,5.316073934,0,4.878630266,0,0,0,4.765946683,0,0,0,0,0,2.740628038,3.700299545,0,4.625370897,0,0,0,0,0,0,0,0,0
T15-2-S,15,Killed-Probiotics,Spat,1,PB2023,4.986732694,6.188226669,4.851938285,5.963801038,0,0,5.518802153,0,0,0,0,3.182820685,4.891753024,0,7.73279269,4.101113517,0,5.568781432,0,6.470484279,7.452376455,5.593136432,2.976122898,7.129178923,7.252808763,0,5.518802153,4.101113517,4.68068806,4.321199277,0,5.857227039,0,6.620201309,5.906647697,5.005000681,6.839649172,5.506032031,0,5.254432183,3.668705948,0,0,5.075843758,6.08896219,5.192018772,4.747311442,7.206200388,4.406129831,0,0,5.763765654,0,5.506032031,5.697915317,0,5.518802153,0,0,6.515779468,3.668705948,6.632003768,0,6.457277229,0,5.426942394,5.453790251,0,5.816434216,0,0,0,5.640646633,2.444784843,3.920428048,6.416914787,6.063040935,6.457277229,0,5.991550476,4.537434131,0,0,4.831611142,0,0,6.164043478,5.426942394,0,5.906647697,6.08896219,5.328833564,4.986732694,0,0,0,0,0,0,5.867247534,0,5.385709913,0,0,0,4.949487771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.851938285,0,0,5.357552005,4.486337332,4.831611142,0,1.936697418,5.058456442,0,0,5.973110282,0,3.841302254,0,4.512111935,3.363581716,0,0,0,0,0,4.831611142,0,0,0,0,0,0,0,5.284654708,0,0,5.493147864,0,0,0,5.426942394,4.321199277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
