Sample.ID,Tank,Age,Genetic.Background,Microbial.Source,ASV4,ASV6,ASV7,ASV9,ASV11,ASV13,ASV16,ASV23,ASV25,ASV26,ASV29,ASV32,ASV35,ASV36,ASV45,ASV50,ASV53,ASV55,ASV57,ASV58,ASV59,ASV60,ASV63,ASV67,ASV70,ASV75,ASV79,ASV80,ASV84,ASV87,ASV94,ASV96,ASV97,ASV98,ASV101,ASV102,ASV104,ASV111,ASV113,ASV118,ASV122,ASV125,ASV128,ASV129,ASV131,ASV134,ASV136,ASV138,ASV141,ASV142,ASV147,ASV154,ASV157,ASV158,ASV161,ASV163,ASV164,ASV166,ASV171,ASV176,ASV186,ASV188,ASV190,ASV191,ASV201,ASV211,ASV229,ASV230,ASV231,ASV234,ASV236,ASV237,ASV238,ASV241,ASV245,ASV252,ASV255,ASV261,ASV265,ASV272,ASV273,ASV275,ASV276,ASV283,ASV288,ASV291,ASV310,ASV312,ASV315,ASV318,ASV319,ASV324,ASV325,ASV336,ASV354,ASV366,ASV367,ASV383,ASV384,ASV391,ASV402,ASV409,ASV419,ASV423,ASV425,ASV432,ASV440,ASV466,ASV490,ASV507,ASV547,ASV585,ASV588,ASV612,ASV634,ASV644,ASV658,ASV670,ASV685,ASV716,ASV752,ASV766,ASV846,ASV946,ASV956,ASV959,ASV997,ASV1182,ASV1194,ASV1203,ASV1209,ASV1213,ASV1223,ASV1229,ASV1237,ASV1446,ASV1523,ASV1550,ASV1775
205,7,Spat,Disease Resilient,Disease Resilient,7.115685231,6.078213297,6.602560549,0,0,0,5.115298144,0,0,0,5.682769792,0,5.548781444,0,3.716861768,4.125281724,0,5.028461305,5.226757791,0,0,4.983000791,3.373608931,0,8.289187986,5.818365014,6.43120276,1.820078786,6.824979272,0,8.46791187,5.401063078,0,0,0,7.921590206,5.994781526,5.284109582,6.639654541,0,6.375118618,6.302957778,5.918353149,8.04976036,4.772014951,0,5.731691003,0,0,5.66128484,5.540959863,4.443224673,5.187216155,5.460319316,5.246129487,7.091792456,5.710927563,5.745369117,5.383675868,6.448029786,5.710927563,4.616966028,6.017505986,0,0,5.339268356,0,5.525188324,5.104725107,6.489258222,5.418243233,0,4.924083529,5.476812057,4.646424536,0,5.265244513,0,5.255718658,5.083343695,0,5.265244513,0,0,0,0,4.186724987,5.639475086,0,0,0,0,7.464764098,0,0,0,0,5.19720363,0,5.293450409,0,4.459912868,0,0,5.005910103,5.311952564,6.98918488,0,0,0,0,0,3.145043982,0,0,0,0,0,0,0,4.646424536,0,4.68951427,0,3.015571334,0,0,0,5.460319316,0,0,0,3.263848149,0,4.586893443,0,5.094074011,4.616966028,0
206,8,Spat,Disease Susceptible,Disease Resilient,8.092539203,5.566564109,7.609007334,4.880372479,2.357189199,0,5.651865415,5.85052519,5.033536533,0,5.813979486,4.211461851,6.368933917,4.128858007,3.763126788,4.258845258,0,5.357552005,5.988099011,3.806292163,5.252226486,5.834975964,5.104423129,3.33230191,7.681799895,6.567034783,6.724408366,2.357189199,7.253104245,5.954915799,7.766204429,8.087080026,0,4.797226964,5.350278508,7.191351813,5.024425703,5.060528808,6.82753096,3.038523072,7.016291368,6.837969244,5.901177928,7.456470855,5.095750455,5.244400619,6.701726243,6.07450014,0,0,5.911098511,4.474897619,5.442088464,4.83939862,7.664309818,7.25699895,5.290731441,7.30669595,4.807886008,6.3026507,6.560746465,5.051587378,6.011342547,4.540277861,5.407464891,6.244989034,4.639088916,5.495813826,4.753785367,6.785005783,3.928541269,0,5.692696381,0,4.195315124,4.501406312,4.650977694,3.600985763,5.42141419,5.400439335,5.024425703,6.795755167,3.525500628,0,5.024425703,0,5.692696381,5.787296739,3.649200611,0,0,2.033082355,5.634006366,0,0,4.162469197,5.313350588,4.023054103,0,3.985988608,3.928541269,0,4.939730664,5.147021294,4.639088916,5.328235374,5.228620368,4.930005686,3.143238552,5.572827175,3.33230191,0,4.004640387,3.90887232,5.603741043,3.576260307,0,3.445846819,3.741049922,0,0,3.888931504,3.967092528,4.48821285,4.720323603,4.004640387,0,0,4.076925764,0,3.445846819,4.304721779,3.806292163,3.888931504,0,0,2.521620675,0,0
207,9,Spat,Disease Susceptible,Disease Resilient,9.214053576,4.69016899,8.742242216,4.552631733,3.230146919,5.217901639,4.962599295,5.807268526,5.593464396,0,6.505772956,0,6.038297088,0,4.780955023,0,4.330177465,5.293862492,5.789884563,4.531867795,5.632997634,6.15830744,0,0,6.588536184,7.049362841,6.511087108,0,7.134464197,0,9.70563934,0,4.330177465,5.13771792,5.708955487,6.117081243,4.531867795,5.434745677,6.935401248,6.074642231,7.41802226,6.662038491,6.15830744,9.20588419,4.931228986,0,5.293862492,6.451526239,0,5.642713967,5.907390437,6.045639736,5.883003805,5.109968126,0,8.551690856,5.445887784,4.708788993,5.456944497,6.647634563,7.016109502,4.552631733,0,4.330177465,0,0,5.613366424,5.230842784,5.824445511,7.999224954,0,5.824445511,5.563086909,4.573101062,5.552817258,4.763249111,5.123909742,0,0,4.882856234,0,0,5.123909742,1.590756464,0,0,0,0,3.708455948,0,0,2.328878064,5.230842784,0,0,0,5.008411712,5.204843359,4.03789952,0,0,0,4.552631733,4.931228986,5.067316224,0,0,0,3.632471086,5.13771792,0,0,5.858197855,0,0,4.230610866,0,4.204607224,4.763249111,0,0,0,0,0,3.946717055,0,4.330177465,0,0,3.708455948,4.882856234,0,0,1.880788654,0,0,0,4.230610866,0
208,10,Spat,Disease Susceptible,Disease Resilient,6.872562608,4.806737593,6.445587985,0,4.425833742,0,4.076841816,4.836192041,0,3.920622495,7.06366787,2.819970736,6.501810476,4.666202349,4.473474092,4.988246885,3.864549798,4.649707534,6.201505421,4.206552377,6.605944778,5.620680356,4.113389592,0,5.978607898,6.436000805,4.48281625,3.183005956,7.239300734,4.927966494,5.218183024,5.501647341,0,3.698067365,5.283789016,5.637508462,2.877768329,5.101740159,7.060551658,5.784513502,6.654289313,6.792181964,4.217785839,4.761396745,3.745409822,0,4.125369293,6.101955399,4.510485147,5.251358913,5.761669246,5.742352099,6.77897088,5.27843437,5.095663828,6.14965914,4.745960844,4.941581485,5.79954449,6.625055597,6.15551271,5.320725174,0,0,0,0,5.401760061,5.033450021,6.392052177,5.76550183,5.071099302,5.356739244,5.089561797,5.189941495,5.376922137,4.730358,4.761396745,4.682510703,0,4.666202349,0,4.28340949,0,4.865057151,4.44507907,0,6.283978741,6.108005344,0,0,4.396475647,7.422799692,0,0,5.064892257,0,5.829144662,5.218183024,4.843462642,4.730358,0,7.033788517,4.160722858,4.714584565,4.657978515,4.510485147,3.581157634,0,0,5.706915744,4.828884613,0,4.934790051,4.730358,5.223765589,4.206552377,0,3.434805136,4.900344879,4.335904023,0,4.690596265,0,4.239993715,3.615538202,0,3.375854486,0,0,4.294062317,3.920622495,0,0,2.291799848,3.892858549,5.753973397,1.007372625,3.527999978,3.395773551
209,11,Spat,Disease Resilient,Disease Resilient,7.708149695,5.99477196,7.315003611,5.627860319,4.045541392,5.728699833,5.064289389,5.256690035,4.649903506,4.780921423,5.360907306,5.519439218,7.368074045,4.106776855,3.844501668,4.565172531,0,4.793391853,6.899382161,0,4.842222812,5.835063021,5.571051167,0,8.140295963,5.99477196,6.260332922,4.106776855,7.46089814,0,5.489095914,5.97301062,0,0,0,7.753531908,5.114848037,4.293940724,6.606146785,0,6.82844327,7.095919386,5.599735347,5.134585605,4.946400348,0,5.578275856,5.426424894,0,5.571051167,5.847076039,5.571051167,6.200725997,5.511913012,5.43440928,4.328626733,5.899930073,0,6.273745536,5.962005608,6.338999583,4.086652452,0,0,0,0,4.663553859,5.613866368,6.098911461,0,0,0,5.465912143,5.229415386,0,5.3010323,0,0,0,5.741627874,0,0,3.462558397,0,5.65544747,0,5.94533907,0,0,0,0,0,0,5.022526721,6.00016139,0,5.473681536,0,0,0,4.830169145,0,5.064289389,0,0,4.716899248,2.52938862,0,4.677076266,0,0,4.608159971,0,0,4.106776855,4.535785732,5.335550246,3.745291251,0,4.729932989,4.636122762,4.703746681,5.256690035,0,3.149892599,0,0,0,0,0,3.582377797,0,0,0,0,0,0,3.225463424,0
210,12,Spat,Disease Resilient,Disease Resilient,7.542670459,8.294600159,6.930651733,7.930853508,5.357066743,7.553300033,4.461216308,5.016518321,4.709496693,0,5.282364159,6.994445095,7.725311914,0,4.461216308,4.188672794,0,0,7.224671805,5.428090922,0,5.662150111,6.345487429,0,7.479982238,6.523610605,6.040130554,4.985458359,6.715646776,0,0,6.001840425,4.045433574,0,0,7.00609856,4.215689838,0,6.545071613,0,7.029126842,6.35766723,0,3.707613713,5.539206937,0,5.622321906,6.204249121,0,5.622321906,5.570938813,5.282364159,7.040504592,6.244160059,0,3.745185041,7.02531423,0,6.170125293,6.040130554,6.734450436,0,6.748394072,0,0,5.269528823,5.076701396,5.428090922,6.739113305,0,5.854916717,0,5.451009332,4.783591359,5.176334325,5.775434098,0,0,5.897252107,5.549861966,0,0,0,3.629401829,6.479706432,0,5.802417791,0,0,0,0,0,0,0,5.560438879,3.588646173,0,4.367957887,0,0,0,0,0,0,5.747936076,5.230323096,0,0,0,0,0,2.916374544,3.781802703,4.133071799,0,0,0,0,0,6.21097809,0,0,4.215689838,0,0,0,0,0,0,0,0,0,0,1.771023949,0,0,2.848949768,0,0
211,13,Spat,Disease Resilient,Disease Susceptible,9.089757753,6.988180086,8.767045564,6.612247929,3.701893356,6.055847002,5.658455857,6.094789135,5.648020178,0,0,5.668816592,7.076434298,0,5.359088326,0,4.822858192,5.58376939,6.812424398,5.061732169,0,5.49339283,5.469885502,0,8.416735672,6.898581854,7.234748131,0,7.064712852,0,5.861788117,5.061732169,4.290255414,5.013769536,0,7.899138582,4.822858192,0,6.132707685,0,6.281903451,6.670121939,6.826374956,5.481687044,5.421689582,0,0,0,0,5.834437111,7.040980332,1.827101334,6.176932363,4.60277418,5.626919594,5.658455857,7.060784444,0,7.282757016,5.834437111,5.81591072,3.854917158,0,0,0,4.088944967,5.196736159,6.087084346,5.758859851,0,0,0,6.779338707,5.699459705,0,4.686740157,0,0,0,0,0,0,0,0,6.710800167,5.092843708,7.791842037,0,0,0,0,0,0,1.968005176,6.517973865,0,7.306175352,2.42449268,0,0,0,0,0,0,4.947233483,0,0,0,0,0,0,0,2.607973864,0,0,0,0,0,0,0,4.23554641,0,0,0,0,4.706989693,5.266616015,5.108151448,0,0,0,0,0,0,3.049747472,0,0,0,0
212,14,Spat,Disease Resilient,Disease Susceptible,8.859730635,4.278627229,8.399514458,3.685573265,4.755716441,3.861979215,4.232667762,5.505387913,4.527316991,4.148537883,6.520832475,0,6.467264497,4.583324556,4.601520771,3.991814611,4.574139655,4.887615733,6.164785324,4.160860996,6.111816201,5.18776953,4.64603187,0,7.146973031,5.6522731,6.287873563,0,5.950818616,4.83475638,5.451232433,6.839135736,0,0,5.075086296,6.876975464,4.527316991,5.199763422,6.59081506,6.411630557,6.670545558,5.781591155,5.7855757,5.015262569,4.697693505,0,5.100898599,5.394964527,3.719293264,3.876996005,5.341834868,4.34493262,6.390856042,5.461231295,6.326674937,5.950818616,4.865198449,5.932966477,5.777595575,6.180001423,6.230567681,4.508153977,5.240973804,0,4.536803884,4.5462288,5.18776953,5.068560408,5.950818616,5.538821279,0,5.712113864,4.872709647,0,0,5.181734983,5.126257182,3.444791562,4.654771636,4.771874652,0,5.476100842,2.971992079,0,4.610533532,0,6.12130613,0,4.787853894,5.028772756,3.949821163,5.940133863,7.080417205,0,5.107280155,0,5.639120653,4.527316991,0,4.663458776,0,5.603449728,4.173079739,4.689210682,4.469047003,0,6.55857848,5.100898599,0,0,3.921130707,3.053563464,0,4.267273893,4.289891917,4.827044426,0,4.564895904,3.579409755,3.846804472,0,4.232667762,3.079760233,0,0,2.552967465,0,4.62839188,0,2.352677568,0,4.045969582,0,0,0,0,2.264067459,0,4.779886396
213,15,Spat,Disease Susceptible,Disease Susceptible,7.654514964,6.658211483,7.308229096,0,0,0,5.536383315,6.272928368,4.759526397,0,5.521287488,0,6.080373416,0,0,0,0,0,5.78414484,0,0,6.059625305,0,4.238358583,6.796298298,6.490070891,5.706191512,0,5.984562934,0,7.04876984,5.973513672,0,5.29146547,0,6.466620816,6.466620816,5.161186664,6.351846111,5.566109205,6.343287653,5.95115799,5.566109205,6.418545227,5.326624882,0,0,0,0,0,6.140885328,0,6.080373416,4.596243783,5.78414484,6.426669904,6.863677548,5.017964929,5.706191512,0,5.665576226,0,6.630341875,0,0,5.081094223,6.17021537,5.771441623,5.521287488,6.0279327,4.567138599,0,5.490613534,4.567138599,0,4.040799275,0,0,6.263887197,5.360947781,0,0,0,0,0,0,0,0,0,0,0,0,6.299716816,0,0,0,6.080373416,0,0,0,2.863976744,0,0,0,0,5.732646732,0,0,4.476124925,0,3.811828399,0,0,0,0,4.040799275,0,4.733563936,5.536383315,0,0,0,3.347487641,4.476124925,4.200951897,0,0,0,0,0,0,0,0,2.418952549,5.858101155,0,0,0,0
214,16,Spat,Disease Resilient,Disease Susceptible,8.452565633,5.825235403,7.964549162,0,0,0,0,5.875234542,4.505134041,4.993145777,5.209052366,0,6.217378039,0,0,0,0,0,6.059517856,4.723629995,0,6.178080566,4.290286082,4.769676873,7.519787828,6.437790398,6.543176538,2.401764285,7.909054114,0,7.704975376,5.950462817,0,0,0,6.975234422,5.242092376,6.493733706,6.8557946,4.967033173,6.968669261,7.422255776,6.195053578,7.375870801,5.336901377,0,5.209052366,6.255633413,0,5.295531239,6.374632258,4.037748079,5.742987418,5.357149918,0,8.204160402,6.053326049,6.359656102,5.18659769,6.442536094,6.534312052,4.523167738,0,0,5.500581071,0,5.140611852,6.160905491,5.209052366,7.787492285,4.754490629,0,5.846876127,0,0,4.784704926,6.120016825,0,5.128882654,6.084022716,0,0,4.180940344,0,5.655765485,0,5.163787988,0,4.540978794,0,0,0,5.473012986,0,4.692094767,0,4.899605876,6.359656102,4.111120022,0,0,4.44963964,5.795866701,0,5.727516092,4.55857264,5.545388588,0,0,0,0,0,0,3.850472989,4.505134041,0,0,4.372161927,0,3.850472989,3.792175526,4.311194769,4.134770902,0,0,4.626877844,0,0,0,2.74688318,5.056431466,3.762118919,0,0,4.953797467,0,0,0,4.247537068
