Sample.ID,Tank,Treatment,Age,Family,Project,ASV4,ASV6,ASV7,ASV9,ASV13,ASV23,ASV29,ASV32,ASV35,ASV41,ASV57,ASV59,ASV75,ASV80,ASV87,ASV90,ASV94,ASV96,ASV100,ASV104,ASV111,ASV117,ASV118,ASV129,ASV136,ASV142,ASV147,ASV154,ASV157,ASV158,ASV161,ASV166,ASV167,ASV180,ASV188,ASV190,ASV191,ASV211,ASV219,ASV227,ASV230,ASV231,ASV236,ASV237,ASV238,ASV245,ASV252,ASV258,ASV265,ASV271,ASV275,ASV297,ASV324,ASV328,ASV332,ASV348,ASV353,ASV381,ASV384,ASV390,ASV397,ASV400,ASV409,ASV410,ASV423,ASV429,ASV431,ASV432,ASV438,ASV450,ASV453,ASV461,ASV478,ASV511,ASV516,ASV534,ASV547,ASV585,ASV591,ASV596,ASV597,ASV606,ASV613,ASV630,ASV653,ASV665,ASV674,ASV682,ASV711,ASV723,ASV732,ASV745,ASV752,ASV774,ASV777,ASV790,ASV803,ASV816,ASV820,ASV827,ASV849,ASV860,ASV914,ASV934,ASV942,ASV953,ASV987,ASV1032,ASV1066,ASV1074,ASV1077,ASV1104,ASV1119,ASV1121,ASV1126,ASV1131,ASV1133,ASV1148,ASV1169,ASV1191,ASV1211,ASV1221,ASV1224,ASV1226,ASV1234,ASV1251,ASV1264,ASV1265,ASV1270,ASV1287,ASV1293,ASV1325,ASV1338,ASV1352,ASV1360,ASV1400,ASV1411,ASV1419,ASV1428,ASV1439,ASV1464
T10-1-S,10,Control,Spat,4,PB2023,0,583,0,426,253,0,211,160,173,0,0,0,0,408,0,0,0,0,288,0,38,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,78,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,144,0,44,0,0,66,0,0,82,0,60,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,95,151,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10-2-S,10,Control,Spat,4,PB2023,0,69,0,92,0,0,202,0,146,0,0,133,0,312,85,0,94,45,262,159,0,470,94,0,31,0,111,0,0,0,0,148,92,359,0,228,120,0,0,69,0,0,0,80,101,0,0,140,188,180,0,0,191,0,0,0,115,61,0,116,0,199,172,99,0,0,262,0,0,65,0,64,0,47,0,35,138,0,0,0,87,102,74,0,0,0,0,0,34,65,0,0,0,0,0,58,0,0,226,0,0,0,0,0,0,32,15,0,75,0,0,0,0,65,29,0,0,168,139,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,33,0,31,0,0,72
T11-1-S,11,Probiotics,Spat,1,PB2023,129,321,0,210,190,0,394,198,101,0,89,282,149,635,0,0,0,0,520,109,0,113,115,0,51,248,0,0,0,0,0,165,0,0,486,57,105,0,0,120,0,0,213,83,0,0,0,181,0,0,123,0,191,0,0,0,0,95,409,98,0,0,0,0,0,0,82,0,131,0,0,0,0,68,0,401,43,0,0,104,0,0,0,0,361,55,0,0,0,0,0,0,0,89,125,0,0,0,0,0,0,172,0,0,219,0,131,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,195,0,0
T11-2-S,11,Probiotics,Spat,1,PB2023,76,181,88,131,208,51,192,185,163,43,130,169,0,461,0,34,0,125,380,43,0,177,131,51,0,169,36,30,0,141,75,149,0,158,111,193,0,0,65,105,52,0,129,123,32,32,95,130,143,61,118,97,158,0,0,16,38,44,87,118,0,0,116,0,27,0,48,113,96,44,0,103,0,39,0,0,0,0,72,42,36,92,0,104,24,81,74,35,49,0,35,19,101,0,57,0,0,91,0,64,0,0,0,0,0,35,46,0,0,0,43,0,0,81,0,60,0,116,0,71,0,0,0,0,0,0,7,0,0,55,0,0,0,0,0,0,0,11,0,0,72
T12-1-S,12,Probiotics,Spat,2,PB2023,0,0,0,214,0,0,0,0,0,0,0,126,0,356,0,0,0,222,310,77,0,111,0,0,0,0,0,0,88,207,175,162,0,0,0,113,72,0,0,0,0,0,0,0,75,0,0,0,0,0,133,0,143,0,0,122,0,55,107,0,159,0,111,0,0,0,0,0,41,158,0,0,0,0,0,0,0,0,80,0,0,0,0,45,68,0,32,0,0,0,0,0,42,0,0,0,0,0,0,0,26,0,0,0,0,0,0,20,0,0,0,277,178,0,0,0,0,0,0,0,0,0,0,25,30,227,0,0,0,0,0,0,0,0,0,0,87,97,0,0,178
T12-2-S,12,Probiotics,Spat,2,PB2023,0,659,0,764,170,0,252,0,37,203,0,218,0,220,0,0,0,74,160,0,0,0,0,0,0,0,160,58,0,0,0,168,0,138,164,374,0,0,0,0,0,0,0,0,140,0,0,23,255,0,0,0,0,0,0,197,0,222,0,0,0,0,60,66,0,0,0,0,0,140,0,64,0,0,140,135,0,0,0,0,0,35,94,0,0,45,16,109,0,0,119,0,0,0,16,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,0,0,0,0,0,27,0,0,0,0,0,0,0,682,0,0,0,0,0,0,45,0,0,166,177,115,0,0,70
T14-1-S,14,Probiotics,Spat,4,PB2023,62,164,0,0,0,0,151,0,66,0,0,0,127,294,90,0,0,32,242,170,0,143,0,0,192,451,57,272,0,33,0,53,37,63,34,0,0,174,0,182,0,0,435,44,0,198,0,0,0,0,0,158,119,0,110,95,0,0,0,0,0,0,0,0,32,0,44,0,0,132,128,84,0,0,90,0,0,47,0,0,0,46,0,0,0,93,0,82,0,0,0,0,0,0,120,0,81,74,0,0,86,0,0,0,0,0,0,0,59,66,94,0,0,0,47,0,0,51,0,0,0,0,65,0,0,0,38,0,0,0,46,0,0,14,0,0,0,0,0,0,0
T14-2-S,14,Probiotics,Spat,4,PB2023,48,528,0,424,196,0,205,164,64,177,46,181,22,946,49,150,55,22,771,289,27,241,60,35,212,754,82,511,0,75,14,93,29,211,38,107,219,149,0,431,74,22,602,50,61,426,66,8,86,68,62,318,0,0,483,310,96,63,0,136,62,0,0,38,0,0,16,162,0,26,401,35,236,53,181,215,60,102,48,17,64,116,32,24,179,44,53,29,32,35,131,142,119,0,88,0,26,9,0,31,0,88,96,116,24,23,14,73,0,18,63,0,24,0,55,0,0,0,61,53,0,28,44,10,97,0,0,0,0,0,84,71,18,38,0,0,0,0,0,0,0
T15-1-S,15,Killed Probiotics,Spat,1,PB2023,0,169,0,120,74,0,298,49,0,0,0,242,0,603,0,0,25,100,517,275,0,114,95,0,0,264,131,103,0,0,0,171,0,111,0,0,228,0,0,62,0,45,211,0,86,93,0,105,0,0,141,52,210,24,91,95,0,209,0,92,0,0,203,0,0,0,87,0,89,0,68,67,0,182,154,84,0,0,0,75,0,0,130,65,77,71,28,0,0,38,127,0,0,30,0,89,0,0,0,55,36,0,0,46,0,0,0,0,0,0,0,0,0,0,32,250,127,0,0,0,108,0,61,0,34,0,0,0,168,197,0,0,32,0,0,0,0,51,0,75,0
T15-2-S,15,Killed Probiotics,Spat,1,PB2023,66,154,60,132,0,0,96,0,0,0,17,62,0,454,35,0,100,188,374,101,15,298,325,96,35,53,41,0,122,0,209,127,67,244,95,0,80,0,0,70,144,76,55,315,43,0,0,114,0,95,109,0,96,0,0,194,25,211,0,186,0,90,92,0,119,0,0,0,105,10,30,181,141,186,0,134,48,0,59,0,0,152,90,127,144,84,66,0,0,0,0,0,0,123,0,88,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,86,46,59,0,6,69,0,0,29,0,47,20,0,0,0,0,59,0,0,0,0,0,81,0,0,94,0,0
T16-1-S,16,Killed Probiotics,Spat,2,PB2023,0,101,0,0,0,0,57,0,0,0,0,0,0,230,0,0,0,0,236,49,68,0,0,0,0,82,0,0,0,0,67,0,143,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,48,0,158,154,0,0,0,0,0,0,0,0,0,44,108,160,0,30,49,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,101,0,0,0,0,78,0,0,148,0,164,99,65,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T16-2-S,16,Killed Probiotics,Spat,2,PB2023,58,103,0,0,0,0,156,0,0,0,47,112,0,517,54,0,46,39,403,273,48,81,0,31,72,62,182,0,0,125,0,71,48,60,0,0,212,78,0,793,52,0,43,0,145,0,91,47,0,0,54,671,0,0,0,102,0,30,0,136,0,0,18,74,44,0,48,0,30,12,0,146,83,0,89,50,0,78,0,0,0,90,0,132,38,100,0,0,0,49,71,0,0,62,14,0,324,96,34,89,16,50,0,43,213,0,14,70,92,275,0,0,59,0,0,0,0,0,53,112,35,57,50,0,42,0,160,15,0,0,0,37,12,43,262,0,108,45,0,0,0
