Sample.ID,Tank,Treatment,Age,Family,ASV4,ASV6,ASV7,ASV9,ASV13,ASV23,ASV29,ASV32,ASV35,ASV41,ASV55,ASV57,ASV59,ASV75,ASV80,ASV87,ASV90,ASV94,ASV95,ASV96,ASV100,ASV104,ASV111,ASV117,ASV118,ASV122,ASV129,ASV136,ASV142,ASV147,ASV154,ASV157,ASV158,ASV161,ASV166,ASV167,ASV180,ASV188,ASV190,ASV191,ASV201,ASV211,ASV219,ASV227,ASV230,ASV231,ASV236,ASV237,ASV238,ASV245,ASV252,ASV258,ASV265,ASV271,ASV275,ASV297,ASV324,ASV328,ASV332,ASV348,ASV353,ASV381,ASV384,ASV390,ASV397,ASV400,ASV409,ASV410,ASV423,ASV429,ASV431,ASV432,ASV438,ASV450,ASV453,ASV461,ASV478,ASV511,ASV516,ASV534,ASV547,ASV553,ASV585,ASV591,ASV596,ASV597,ASV606,ASV613,ASV622,ASV630,ASV653,ASV665,ASV674,ASV682,ASV711,ASV723,ASV732,ASV745,ASV752,ASV774,ASV777,ASV790,ASV803,ASV816,ASV820,ASV827,ASV849,ASV852,ASV860,ASV914,ASV934,ASV936,ASV942,ASV953,ASV987,ASV997,ASV998,ASV999,ASV1032,ASV1063,ASV1066,ASV1074,ASV1076,ASV1077,ASV1081,ASV1093,ASV1104,ASV1119,ASV1121,ASV1126,ASV1131,ASV1133,ASV1148,ASV1169,ASV1180,ASV1191,ASV1193,ASV1211,ASV1221,ASV1224,ASV1226,ASV1234,ASV1251,ASV1264,ASV1265,ASV1270,ASV1272,ASV1287,ASV1293,ASV1301,ASV1325,ASV1338,ASV1346,ASV1352,ASV1360,ASV1400,ASV1411,ASV1419,ASV1428,ASV1439,ASV1464,ASV1490,ASV1509,ASV1532,ASV1538,ASV1546,ASV1548,ASV1568,ASV1584,ASV1592,ASV1596,ASV1649,ASV1666,ASV1685,ASV1688,ASV1713,ASV1727,ASV1735,ASV1741,ASV1752,ASV1757,ASV1758,ASV1766,ASV1767
T10-1-S,10,Control,Spat,4,0,744,0,543,323,0,269,204,221,0,0,0,0,0,521,0,0,0,0,0,368,0,48,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,99,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,184,0,57,0,0,85,0,0,105,0,0,76,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,122,192,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T10-2-S,10,Control,Spat,4,0,63,0,83,0,0,184,0,133,0,0,0,121,0,283,77,0,86,0,41,239,144,0,428,86,0,0,28,0,101,0,0,0,0,135,83,326,0,207,109,58,0,0,63,0,0,0,73,92,0,0,127,171,164,0,0,173,0,0,0,105,56,0,106,0,181,156,90,0,0,239,0,0,59,0,58,0,43,0,32,125,126,0,0,0,79,93,67,0,0,0,0,0,0,31,59,0,0,0,0,0,52,0,0,205,0,0,0,0,0,0,0,0,29,14,88,14,0,0,0,68,0,0,0,0,0,0,0,59,27,0,0,153,126,0,0,65,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,30,0,28,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,90,0
T11-1-S,11,Probiotics,Spat,1,111,276,0,181,163,0,339,170,87,0,0,76,243,129,547,0,0,0,0,0,448,94,0,98,99,0,0,44,213,0,0,0,0,0,142,0,0,418,49,91,0,0,0,104,0,0,183,71,0,0,0,156,0,0,106,0,164,0,0,0,0,82,353,85,0,0,0,0,0,0,70,0,113,0,0,0,0,58,0,345,37,0,0,0,89,0,0,0,0,0,311,48,0,0,0,0,0,0,0,76,107,0,0,0,0,0,0,0,148,0,0,0,188,0,113,15,0,69,0,0,0,0,192,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,111,0,136,13,0,0,100,18,0,0,0,0,0,0
T11-2-S,11,Probiotics,Spat,1,81,193,94,140,222,54,205,197,174,46,0,139,181,0,493,0,36,0,0,133,406,46,0,190,140,0,55,0,180,39,32,0,151,80,159,0,168,119,206,0,0,0,69,112,55,0,137,131,35,34,102,139,153,65,126,104,168,0,0,17,41,48,93,126,0,0,124,0,29,0,51,121,102,48,0,110,0,42,0,0,0,0,0,77,45,38,99,0,0,112,25,87,79,37,53,0,37,20,107,0,61,0,0,97,0,68,0,0,0,0,0,23,0,37,49,0,0,0,0,0,0,0,0,46,0,13,0,0,86,0,64,0,124,0,59,76,108,0,0,0,0,0,0,8,0,0,0,59,0,0,0,0,0,0,0,0,0,12,0,0,77,0,0,0,0,0,0,0,0,39,0,0,21,18,0,43,0,0,28,0,0,0,0,0
T12-1-S,12,Probiotics,Spat,2,0,0,0,179,0,0,0,0,0,0,0,0,105,0,298,0,0,0,113,185,259,64,0,93,0,0,0,0,0,0,0,74,173,147,136,0,0,0,95,61,0,0,0,0,0,0,0,0,63,0,0,0,0,0,112,0,120,0,0,102,0,46,90,0,133,0,93,0,0,0,0,0,34,132,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,38,57,0,27,0,0,0,0,0,35,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,75,39,0,17,65,0,0,40,0,0,76,232,149,0,0,0,0,0,0,0,0,0,0,0,0,21,25,190,0,0,0,0,0,0,0,0,0,0,0,0,0,73,81,0,0,149,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,2,76,0,0
T12-2-S,12,Probiotics,Spat,2,0,675,0,782,174,0,257,0,38,208,0,0,224,0,226,0,0,0,0,76,164,0,0,0,0,0,0,0,0,164,60,0,0,0,172,0,142,168,383,0,0,0,0,0,0,0,0,0,144,0,0,24,261,0,0,0,0,0,0,202,0,228,0,0,0,0,62,68,0,0,0,0,0,144,0,66,0,0,144,138,0,0,0,0,0,0,36,96,82,0,0,46,16,112,0,0,122,0,0,0,16,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,836,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0,0,46,0,0,0,170,182,118,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,96,0,0,0,0,0,0,0
T14-1-S,14,Probiotics,Spat,4,51,135,0,0,0,0,124,0,54,0,0,0,0,105,242,74,0,0,0,26,199,140,0,117,0,0,0,158,371,47,224,0,27,0,44,30,51,28,0,0,68,143,0,149,0,0,358,36,0,163,0,0,0,0,0,130,98,0,90,78,0,0,0,0,0,0,0,0,26,0,36,0,0,109,105,69,0,0,74,0,0,35,39,0,0,0,38,0,0,0,0,77,0,67,0,0,0,0,0,0,99,0,67,61,0,0,71,0,0,0,0,0,0,0,0,0,105,0,0,0,49,54,0,78,34,0,0,0,0,39,0,0,42,0,0,0,0,0,0,53,0,0,0,31,0,0,60,0,38,0,0,0,0,12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
T14-2-S,14,Probiotics,Spat,4,44,482,0,387,179,0,187,150,58,162,25,42,165,20,864,45,137,51,0,20,703,264,25,220,55,0,32,194,689,75,467,0,68,13,85,26,193,35,98,200,0,136,0,393,68,20,550,46,55,389,60,7,78,62,57,291,0,0,441,283,88,57,0,124,57,0,0,35,0,0,15,148,0,23,366,32,216,49,166,197,54,38,93,44,16,58,106,29,9,22,163,40,48,26,29,32,120,130,109,0,81,0,24,9,0,29,0,101,80,87,106,57,22,21,13,0,14,56,67,55,0,16,20,58,0,0,0,22,0,50,0,0,0,56,0,48,0,0,26,40,9,88,0,0,0,0,0,0,77,62,65,16,41,34,0,0,0,0,0,0,0,0,58,0,0,33,0,33,0,61,0,44,0,43,0,0,26,35,0,0,0,0,42,0
T15-1-S,15,Killed-Probiotics,Spat,1,0,178,0,126,78,0,313,52,0,0,0,0,254,0,633,0,0,26,0,105,544,288,0,120,100,66,0,0,278,138,108,0,0,0,180,0,117,0,0,239,0,0,0,65,0,47,222,0,90,97,0,110,0,0,148,54,221,26,95,100,0,219,0,97,0,0,214,0,0,0,91,0,94,0,72,70,0,191,162,88,0,0,0,0,79,0,0,137,56,68,81,74,29,0,0,40,134,0,0,32,0,94,0,0,0,58,38,0,0,0,49,0,0,0,0,0,54,0,0,72,0,0,0,0,12,6,0,0,0,34,262,134,0,0,0,0,0,114,0,64,0,36,0,0,0,177,0,207,0,0,0,34,49,0,0,0,0,53,0,79,0,58,0,0,0,53,0,0,0,0,0,12,24,0,48,0,0,0,0,0,0,0,0,0
T15-2-S,15,Killed-Probiotics,Spat,1,69,162,63,138,0,0,101,0,0,0,0,18,64,0,476,36,0,104,0,197,391,106,15,312,341,0,101,36,55,43,0,128,0,219,133,70,255,100,0,84,26,0,0,74,151,80,58,330,45,0,0,120,0,100,114,0,101,0,0,203,26,221,0,195,0,94,96,0,124,0,0,0,110,10,32,190,148,195,0,141,50,0,0,62,0,0,159,94,0,133,151,88,69,0,0,0,0,0,0,129,0,92,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,90,48,62,0,6,73,0,0,139,0,30,0,49,21,0,0,0,0,0,62,0,0,0,0,0,0,0,85,0,0,99,0,0,0,94,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
